任务数量： 500
实际：mu=153.000000   sigma=23.000000

   1:  mu=150.000000   Gap=0.019608      sigma=0.000000    Gap=1.000000
   2:  mu=166.000000   Gap=0.084967      sigma=16.000000    Gap=0.304348
   3:  mu=160.000000   Gap=0.045752      sigma=15.577762    Gap=0.322706
   4:  mu=168.500000   Gap=0.101307      sigma=19.968726    Gap=0.131795
   5:  mu=164.000000   Gap=0.071895      sigma=20.000000    Gap=0.130435
   6:  mu=171.833333   Gap=0.123094      sigma=25.300966    Gap=0.100042
   7:  mu=172.285714   Gap=0.126050      sigma=23.450338    Gap=0.019580
   8:  mu=168.750000   Gap=0.102941      sigma=23.847170    Gap=0.036833
   9:  mu=165.444444   Gap=0.081336      sigma=24.349817    Gap=0.058688
  10:  mu=168.700000   Gap=0.102614      sigma=25.080072    Gap=0.090438
  11:  mu=167.090909   Gap=0.092097      sigma=24.448293    Gap=0.062969
  12:  mu=165.583333   Gap=0.082244      sigma=23.935533    Gap=0.040675
  13:  mu=162.846154   Gap=0.064354      sigma=24.874597    Gap=0.081504
  14:  mu=164.285714   Gap=0.073763      sigma=24.525289    Gap=0.066317
  15:  mu=161.466667   Gap=0.055338      sigma=25.935475    Gap=0.127629
  16:  mu=163.062500   Gap=0.065768      sigma=25.861334    Gap=0.124406
  17:  mu=161.882353   Gap=0.058055      sigma=25.529412    Gap=0.109974
  18:  mu=160.000000   Gap=0.045752      sigma=25.995726    Gap=0.130249
  19:  mu=162.157895   Gap=0.059856      sigma=26.907763    Gap=0.169903
  20:  mu=161.450000   Gap=0.055229      sigma=26.407338    Gap=0.148145
  21:  mu=161.523810   Gap=0.055711      sigma=25.773037    Gap=0.120567
  22:  mu=160.727273   Gap=0.050505      sigma=25.443667    Gap=0.106246
  23:  mu=159.695652   Gap=0.043762      sigma=25.350473    Gap=0.102194
  24:  mu=158.875000   Gap=0.038399      sigma=25.126866    Gap=0.092472
  25:  mu=158.760000   Gap=0.037647      sigma=24.625645    Gap=0.070680
  26:  mu=158.423077   Gap=0.035445      sigma=24.206123    Gap=0.052440
  27:  mu=159.629630   Gap=0.043331      sigma=24.537421    Gap=0.066844
  28:  mu=158.964286   Gap=0.038982      sigma=24.342030    Gap=0.058349
  29:  mu=159.241379   Gap=0.040793      sigma=23.963557    Gap=0.041894
  30:  mu=158.466667   Gap=0.035730      sigma=23.927297    Gap=0.040317
  31:  mu=159.225806   Gap=0.040692      sigma=23.902638    Gap=0.039245
