任务数量： 500
实际：mu=330.000000   sigma=55.000000

   1:  mu=296.000000   Gap=0.103030      sigma=0.000000    Gap=1.000000
   2:  mu=267.500000   Gap=0.189394      sigma=28.500000    Gap=0.481818
   3:  mu=305.333333   Gap=0.074747      sigma=58.345713    Gap=0.060831
   4:  mu=324.250000   Gap=0.017424      sigma=60.221985    Gap=0.094945
   5:  mu=328.600000   Gap=0.004242      sigma=54.562258    Gap=0.007959
   6:  mu=320.666667   Gap=0.028283      sigma=52.873013    Gap=0.038672
   7:  mu=323.571429   Gap=0.019481      sigma=49.465304    Gap=0.100631
   8:  mu=320.375000   Gap=0.029167      sigma=47.037053    Gap=0.144781
   9:  mu=322.111111   Gap=0.023906      sigma=44.617994    Gap=0.188764
  10:  mu=328.800000   Gap=0.003636      sigma=46.843996    Gap=0.148291
  11:  mu=327.636364   Gap=0.007163      sigma=44.815324    Gap=0.185176
  12:  mu=315.583333   Gap=0.043687      sigma=58.643639    Gap=0.066248
  13:  mu=309.153846   Gap=0.063170      sigma=60.585408    Gap=0.101553
  14:  mu=306.785714   Gap=0.070346      sigma=59.002637    Gap=0.072775
  15:  mu=311.466667   Gap=0.056162      sigma=59.632057    Gap=0.084219
  16:  mu=316.750000   Gap=0.040152      sigma=61.257142    Gap=0.113766
  17:  mu=315.764706   Gap=0.043137      sigma=59.558700    Gap=0.082885
  18:  mu=319.666667   Gap=0.031313      sigma=60.074953    Gap=0.092272
  19:  mu=320.736842   Gap=0.028070      sigma=58.648679    Gap=0.066340
  20:  mu=322.050000   Gap=0.024091      sigma=57.449521    Gap=0.044537
  21:  mu=324.142857   Gap=0.017749      sigma=56.840869    Gap=0.033470
  22:  mu=318.909091   Gap=0.033609      sigma=60.491855    Gap=0.099852
  23:  mu=317.217391   Gap=0.038735      sigma=59.691931    Gap=0.085308
  24:  mu=321.541667   Gap=0.025631      sigma=62.006034    Gap=0.127382
  25:  mu=320.920000   Gap=0.027515      sigma=60.829545    Gap=0.105992
  26:  mu=322.115385   Gap=0.023893      sigma=59.946981    Gap=0.089945
  27:  mu=322.518519   Gap=0.022671      sigma=58.862281    Gap=0.070223
  28:  mu=323.642857   Gap=0.019264      sigma=58.096111    Gap=0.056293
  29:  mu=324.206897   Gap=0.017555      sigma=57.163636    Gap=0.039339
  30:  mu=325.533333   Gap=0.013535      sigma=56.654940    Gap=0.030090
  31:  mu=324.774194   Gap=0.015836      sigma=55.888547    Gap=0.016155
  32:  mu=325.531250   Gap=0.013542      sigma=55.169616    Gap=0.003084
  33:  mu=324.000000   Gap=0.018182      sigma=55.013497    Gap=0.000245
  34:  mu=322.617647   Gap=0.022371      sigma=54.777096    Gap=0.004053
  35:  mu=322.171429   Gap=0.023723      sigma=54.051555    Gap=0.017244
  36:  mu=322.944444   Gap=0.021380      sigma=53.491403    Gap=0.027429
  37:  mu=322.567568   Gap=0.022523      sigma=52.812028    Gap=0.039781
