任务数量： 500
实际：mu=129.000000   sigma=14.000000

   1:  mu=91.000000   Gap=0.294574      sigma=0.000000    Gap=1.000000
   2:  mu=108.000000   Gap=0.162791      sigma=17.000000    Gap=0.214286
   3:  mu=120.333333   Gap=0.067183      sigma=22.291005    Gap=0.592215
   4:  mu=122.500000   Gap=0.050388      sigma=19.665960    Gap=0.404711
   5:  mu=124.000000   Gap=0.038760      sigma=17.843766    Gap=0.274555
   6:  mu=124.166667   Gap=0.037468      sigma=16.293318    Gap=0.163808
   7:  mu=125.285714   Gap=0.028793      sigma=15.331707    Gap=0.095122
   8:  mu=124.125000   Gap=0.037791      sigma=14.666607    Gap=0.047615
   9:  mu=125.666667   Gap=0.025840      sigma=14.499042    Gap=0.035646
  10:  mu=127.400000   Gap=0.012403      sigma=14.705101    Gap=0.050364
  11:  mu=127.454545   Gap=0.011980      sigma=14.021825    Gap=0.001559
  12:  mu=129.583333   Gap=0.004522      sigma=15.168269    Gap=0.083448
  13:  mu=128.846154   Gap=0.001193      sigma=14.795250    Gap=0.056804
  14:  mu=127.428571   Gap=0.012182      sigma=15.145552    Gap=0.081825
  15:  mu=128.533333   Gap=0.003618      sigma=15.204678    Gap=0.086048
  16:  mu=127.875000   Gap=0.008721      sigma=14.941030    Gap=0.067216
  17:  mu=128.176471   Gap=0.006384      sigma=14.545002    Gap=0.038929
  18:  mu=129.388889   Gap=0.003015      sigma=14.993105    Gap=0.070936
  19:  mu=129.473684   Gap=0.003672      sigma=14.597651    Gap=0.042689
  20:  mu=129.600000   Gap=0.004651      sigma=14.238680    Gap=0.017049
  21:  mu=129.047619   Gap=0.000369      sigma=14.113405    Gap=0.008100
  22:  mu=129.363636   Gap=0.002819      sigma=13.864754    Gap=0.009660
  23:  mu=130.260870   Gap=0.009774      sigma=14.198032    Gap=0.014145
  24:  mu=130.916667   Gap=0.014858      sigma=14.250487    Gap=0.017892
  25:  mu=130.560000   Gap=0.012093      sigma=14.071475    Gap=0.005105
  26:  mu=130.807692   Gap=0.014013      sigma=13.853684    Gap=0.010451
  27:  mu=131.037037   Gap=0.015791      sigma=13.644919    Gap=0.025363
  28:  mu=131.071429   Gap=0.016058      sigma=13.400236    Gap=0.042840
  29:  mu=131.275862   Gap=0.017642      sigma=13.211532    Gap=0.056319
  30:  mu=131.433333   Gap=0.018863      sigma=13.017125    Gap=0.070205
  31:  mu=131.290323   Gap=0.017754      sigma=12.829385    Gap=0.083615
  32:  mu=131.843750   Gap=0.022045      sigma=12.997859    Gap=0.071582
  33:  mu=132.121212   Gap=0.024195      sigma=12.895284    Gap=0.078908
  34:  mu=132.411765   Gap=0.026448      sigma=12.813407    Gap=0.084757
  35:  mu=132.228571   Gap=0.025028      sigma=12.674126    Gap=0.094705
  36:  mu=132.138889   Gap=0.024332      sigma=12.508115    Gap=0.106563
  37:  mu=132.108108   Gap=0.024094      sigma=12.339310    Gap=0.118621
  38:  mu=132.368421   Gap=0.026112      sigma=12.278396    Gap=0.122972
  39:  mu=132.666667   Gap=0.028424      sigma=12.258609    Gap=0.124385
  40:  mu=132.225000   Gap=0.025000      sigma=12.414684    Gap=0.113237
  41:  mu=132.341463   Gap=0.025903      sigma=12.284453    Gap=0.122539
  42:  mu=132.452381   Gap=0.026763      sigma=12.158090    Gap=0.131565
  43:  mu=132.372093   Gap=0.026140      sigma=12.027146    Gap=0.140918
  44:  mu=132.159091   Gap=0.024489      sigma=11.971449    Gap=0.144896
  45:  mu=132.444444   Gap=0.026701      sigma=11.988060    Gap=0.143710
  46:  mu=132.173913   Gap=0.024604      sigma=11.995116    Gap=0.143206
  47:  mu=131.914894   Gap=0.022596      sigma=11.996151    Gap=0.143132
  48:  mu=131.687500   Gap=0.020833      sigma=11.972462    Gap=0.144824
  49:  mu=131.693878   Gap=0.020883      sigma=11.849747    Gap=0.153590
  50:  mu=131.520000   Gap=0.019535      sigma=11.793625    Gap=0.157598
  51:  mu=131.156863   Gap=0.016720      sigma=11.956412    Gap=0.145971
  52:  mu=131.519231   Gap=0.019529      sigma=12.120374    Gap=0.134259
  53:  mu=131.415094   Gap=0.018722      sigma=12.028949    Gap=0.140789
  54:  mu=131.740741   Gap=0.021246      sigma=12.150576    Gap=0.132102
  55:  mu=131.600000   Gap=0.020155      sigma=12.083949    Gap=0.136861
  56:  mu=131.535714   Gap=0.019657      sigma=11.985057    Gap=0.143925
  57:  mu=132.070175   Gap=0.023800      sigma=12.534667    Gap=0.104667
  58:  mu=132.103448   Gap=0.024058      sigma=12.428679    Gap=0.112237
  59:  mu=132.152542   Gap=0.024438      sigma=12.328572    Gap=0.119388
  60:  mu=132.083333   Gap=0.023902      sigma=12.236955    Gap=0.125932
  61:  mu=132.180328   Gap=0.024654      sigma=12.159471    Gap=0.131466
  62:  mu=132.161290   Gap=0.024506      sigma=12.061928    Gap=0.138434
  63:  mu=132.079365   Gap=0.023871      sigma=11.983191    Gap=0.144058
  64:  mu=131.703125   Gap=0.020954      sigma=12.258517    Gap=0.124392
  65:  mu=131.923077   Gap=0.022660      sigma=12.290469    Gap=0.122109
  66:  mu=131.757576   Gap=0.021377      sigma=12.269771    Gap=0.123588
  67:  mu=131.850746   Gap=0.022099      sigma=12.201362    Gap=0.128474
  68:  mu=131.838235   Gap=0.022002      sigma=12.111747    Gap=0.134875
  69:  mu=132.028986   Gap=0.023481      sigma=12.126114    Gap=0.133849
  70:  mu=131.914286   Gap=0.022591      sigma=12.076829    Gap=0.137369
  71:  mu=132.056338   Gap=0.023693      sigma=12.050232    Gap=0.139269
  72:  mu=131.930556   Gap=0.022717      sigma=12.013102    Gap=0.141921
  73:  mu=132.054795   Gap=0.023681      sigma=11.977022    Gap=0.144498
  74:  mu=131.716216   Gap=0.021056      sigma=12.242505    Gap=0.125535
  75:  mu=131.773333   Gap=0.021499      sigma=12.170536    Gap=0.130676
  76:  mu=131.697368   Gap=0.020910      sigma=12.108087    Gap=0.135137
  77:  mu=131.714286   Gap=0.021041      sigma=12.030111    Gap=0.140706
  78:  mu=131.602564   Gap=0.020175      sigma=11.992882    Gap=0.143366
  79:  mu=131.518987   Gap=0.019527      sigma=11.939574    Gap=0.147173
  80:  mu=131.537500   Gap=0.019671      sigma=11.865858    Gap=0.152439
  81:  mu=131.382716   Gap=0.018471      sigma=11.873373    Gap=0.151902
  82:  mu=131.475610   Gap=0.019191      sigma=11.830331    Gap=0.154976
  83:  mu=131.602410   Gap=0.020174      sigma=11.814775    Gap=0.156087
  84:  mu=131.452381   Gap=0.019011      sigma=11.823508    Gap=0.155464
  85:  mu=131.517647   Gap=0.019517      sigma=11.768964    Gap=0.159360
  86:  mu=131.639535   Gap=0.020462      sigma=11.754181    Gap=0.160416
  87:  mu=131.379310   Gap=0.018444      sigma=11.932994    Gap=0.147643
  88:  mu=131.238636   Gap=0.017354      sigma=11.937331    Gap=0.147334
  89:  mu=131.112360   Gap=0.016375      sigma=11.929039    Gap=0.147926
  90:  mu=131.022222   Gap=0.015676      sigma=11.893021    Gap=0.150498
  91:  mu=130.923077   Gap=0.014908      sigma=11.864835    Gap=0.152512
  92:  mu=130.934783   Gap=0.014998      sigma=11.800704    Gap=0.157093
  93:  mu=130.881720   Gap=0.014587      sigma=11.748118    Gap=0.160849
  94:  mu=130.946809   Gap=0.015092      sigma=11.702307    Gap=0.164121
