任务数量： 500
实际：mu=140.000000   sigma=15.000000

   1:  mu=124.000000   Gap=0.114286      sigma=0.000000    Gap=1.000000
   2:  mu=121.000000   Gap=0.135714      sigma=3.000000    Gap=0.800000
   3:  mu=128.333333   Gap=0.083333      sigma=10.656245    Gap=0.289584
   4:  mu=129.500000   Gap=0.075000      sigma=9.447222    Gap=0.370185
   5:  mu=130.400000   Gap=0.068571      sigma=8.639444    Gap=0.424037
   6:  mu=131.000000   Gap=0.064286      sigma=8.000000    Gap=0.466667
   7:  mu=131.428571   Gap=0.061224      sigma=7.480587    Gap=0.501294
   8:  mu=131.000000   Gap=0.064286      sigma=7.088723    Gap=0.527418
   9:  mu=131.000000   Gap=0.064286      sigma=6.683313    Gap=0.554446
  10:  mu=132.000000   Gap=0.057143      sigma=7.014271    Gap=0.532382
  11:  mu=134.272727   Gap=0.040909      sigma=9.817340    Gap=0.345511
  12:  mu=134.416667   Gap=0.039881      sigma=9.411503    Gap=0.372566
  13:  mu=134.153846   Gap=0.041758      sigma=9.087998    Gap=0.394133
  14:  mu=135.357143   Gap=0.033163      sigma=9.773193    Gap=0.348454
  15:  mu=136.400000   Gap=0.025714      sigma=10.216327    Gap=0.318912
  16:  mu=137.750000   Gap=0.016071      sigma=11.188722    Gap=0.254085
  17:  mu=137.176471   Gap=0.020168      sigma=11.094436    Gap=0.260371
  18:  mu=137.388889   Gap=0.018651      sigma=10.817367    Gap=0.278842
  19:  mu=136.368421   Gap=0.025940      sigma=11.384248    Gap=0.241050
  20:  mu=137.250000   Gap=0.019643      sigma=11.742551    Gap=0.217163
  21:  mu=136.857143   Gap=0.022449      sigma=11.593453    Gap=0.227103
  22:  mu=136.772727   Gap=0.023052      sigma=11.333506    Gap=0.244433
  23:  mu=136.695652   Gap=0.023602      sigma=11.090281    Gap=0.260648
  24:  mu=137.083333   Gap=0.020833      sigma=11.014826    Gap=0.265678
  25:  mu=136.320000   Gap=0.026286      sigma=11.421804    Gap=0.238546
  26:  mu=136.961538   Gap=0.021703      sigma=11.650291    Gap=0.223314
  27:  mu=136.444444   Gap=0.025397      sigma=11.732618    Gap=0.217825
  28:  mu=136.250000   Gap=0.026786      sigma=11.565420    Gap=0.228972
  29:  mu=136.689655   Gap=0.023645      sigma=11.599951    Gap=0.226670
  30:  mu=137.266667   Gap=0.019524      sigma=11.820697    Gap=0.211954
  31:  mu=136.741935   Gap=0.023272      sigma=11.978388    Gap=0.201441
  32:  mu=136.500000   Gap=0.025000      sigma=11.866444    Gap=0.208904
  33:  mu=136.393939   Gap=0.025758      sigma=11.700659    Gap=0.219956
  34:  mu=136.176471   Gap=0.027311      sigma=11.594803    Gap=0.227013
  35:  mu=136.314286   Gap=0.026327      sigma=11.456181    Gap=0.236255
  36:  mu=136.166667   Gap=0.027381      sigma=11.329656    Gap=0.244690
  37:  mu=136.297297   Gap=0.026448      sigma=11.202955    Gap=0.253136
  38:  mu=136.578947   Gap=0.024436      sigma=11.186532    Gap=0.254231
  39:  mu=136.538462   Gap=0.024725      sigma=11.045004    Gap=0.263666
  40:  mu=137.150000   Gap=0.020357      sigma=11.555410    Gap=0.229639
  41:  mu=136.341463   Gap=0.026132      sigma=12.506798    Gap=0.166213
  42:  mu=136.809524   Gap=0.022789      sigma=12.715267    Gap=0.152316
  43:  mu=137.116279   Gap=0.020598      sigma=12.722822    Gap=0.151812
  44:  mu=137.227273   Gap=0.019805      sigma=12.598455    Gap=0.160103
  45:  mu=137.577778   Gap=0.017302      sigma=12.672786    Gap=0.155148
  46:  mu=137.434783   Gap=0.018323      sigma=12.570933    Gap=0.161938
  47:  mu=137.765957   Gap=0.015957      sigma=12.637689    Gap=0.157487
  48:  mu=137.875000   Gap=0.015179      sigma=12.527678    Gap=0.164821
  49:  mu=137.938776   Gap=0.014723      sigma=12.407056    Gap=0.172863
  50:  mu=138.000000   Gap=0.014286      sigma=12.289833    Gap=0.180678
  51:  mu=138.294118   Gap=0.012185      sigma=12.345189    Gap=0.176987
  52:  mu=138.730769   Gap=0.009066      sigma=12.617319    Gap=0.158845
  53:  mu=139.094340   Gap=0.006469      sigma=12.769752    Gap=0.148683
  54:  mu=139.444444   Gap=0.003968      sigma=12.905162    Gap=0.139656
  55:  mu=139.163636   Gap=0.005974      sigma=12.952730    Gap=0.136485
  56:  mu=139.053571   Gap=0.006760      sigma=12.862486    Gap=0.142501
  57:  mu=139.070175   Gap=0.006642      sigma=12.749764    Gap=0.150016
  58:  mu=139.051724   Gap=0.006773      sigma=12.640142    Gap=0.157324
