任务数量： 500
实际：mu=275.000000   sigma=27.000000

   1:  mu=330.000000   Gap=0.200000      sigma=0.000000    Gap=1.000000
   2:  mu=315.500000   Gap=0.147273      sigma=14.500000    Gap=0.462963
   3:  mu=290.000000   Gap=0.054545      sigma=37.956115    Gap=0.405782
   4:  mu=282.500000   Gap=0.027273      sigma=35.344731    Gap=0.309064
   5:  mu=280.200000   Gap=0.018909      sigma=31.946205    Gap=0.183193
   6:  mu=275.500000   Gap=0.001818      sigma=30.998656    Gap=0.148098
   7:  mu=277.571429   Gap=0.009351      sigma=29.144258    Gap=0.079417
   8:  mu=276.500000   Gap=0.005455      sigma=27.408940    Gap=0.015146
   9:  mu=279.000000   Gap=0.014545      sigma=26.791375    Gap=0.007727
  10:  mu=280.700000   Gap=0.020727      sigma=25.923156    Gap=0.039883
  11:  mu=283.454545   Gap=0.030744      sigma=26.206743    Gap=0.029380
  12:  mu=283.916667   Gap=0.032424      sigma=25.137815    Gap=0.068970
  13:  mu=279.153846   Gap=0.015105      sigma=29.249184    Gap=0.083303
  14:  mu=282.785714   Gap=0.028312      sigma=31.078653    Gap=0.151061
  15:  mu=281.666667   Gap=0.024242      sigma=30.315379    Gap=0.122792
  16:  mu=281.937500   Gap=0.025227      sigma=29.371476    Gap=0.087832
  17:  mu=280.647059   Gap=0.020535      sigma=28.958269    Gap=0.072528
  18:  mu=278.111111   Gap=0.011313      sigma=30.022008    Gap=0.111926
  19:  mu=276.736842   Gap=0.006316      sigma=29.797284    Gap=0.103603
  20:  mu=275.250000   Gap=0.000909      sigma=29.757142    Gap=0.102116
  21:  mu=274.809524   Gap=0.000693      sigma=29.106731    Gap=0.078027
  22:  mu=272.318182   Gap=0.009752      sigma=30.643680    Gap=0.134951
  23:  mu=273.782609   Gap=0.004427      sigma=30.747155    Gap=0.138784
  24:  mu=272.875000   Gap=0.007727      sigma=30.412871    Gap=0.126403
  25:  mu=274.000000   Gap=0.003636      sigma=30.303795    Gap=0.122363
  26:  mu=270.923077   Gap=0.014825      sigma=33.461715    Gap=0.239323
  27:  mu=270.185185   Gap=0.017508      sigma=33.051068    Gap=0.224114
  28:  mu=269.892857   Gap=0.018571      sigma=32.491031    Gap=0.203372
  29:  mu=271.344828   Gap=0.013292      sigma=32.837401    Gap=0.216200
  30:  mu=272.566667   Gap=0.008848      sigma=32.949136    Gap=0.220338
  31:  mu=271.548387   Gap=0.012551      sigma=32.889687    Gap=0.218137
  32:  mu=271.562500   Gap=0.012500      sigma=32.371802    Gap=0.198956
  33:  mu=270.545455   Gap=0.016198      sigma=32.392565    Gap=0.199725
  34:  mu=270.294118   Gap=0.017112      sigma=31.945293    Gap=0.183159
  35:  mu=270.000000   Gap=0.018182      sigma=31.532296    Gap=0.167863
  36:  mu=270.111111   Gap=0.017778      sigma=31.098212    Gap=0.151786
  37:  mu=270.081081   Gap=0.017887      sigma=30.675616    Gap=0.136134
  38:  mu=271.026316   Gap=0.014450      sigma=30.810530    Gap=0.141131
  39:  mu=272.256410   Gap=0.009977      sigma=31.344012    Gap=0.160889
  40:  mu=272.250000   Gap=0.010000      sigma=30.949758    Gap=0.146287
  41:  mu=272.414634   Gap=0.009401      sigma=30.587719    Gap=0.132878
  42:  mu=271.928571   Gap=0.011169      sigma=30.381223    Gap=0.125230
  43:  mu=270.953488   Gap=0.014715      sigma=30.683647    Gap=0.136431
  44:  mu=270.068182   Gap=0.017934      sigma=30.883504    Gap=0.143833
  45:  mu=269.711111   Gap=0.019232      sigma=30.630139    Gap=0.134450
  46:  mu=269.847826   Gap=0.018735      sigma=30.309252    Gap=0.122565
