任务数量： 500
实际：mu=329.000000   sigma=33.000000

   1:  mu=343.000000   Gap=0.042553      sigma=0.000000    Gap=1.000000
   2:  mu=314.500000   Gap=0.044073      sigma=28.500000    Gap=0.136364
   3:  mu=307.000000   Gap=0.066869      sigma=25.573424    Gap=0.225048
   4:  mu=317.000000   Gap=0.036474      sigma=28.115832    Gap=0.148005
   5:  mu=325.800000   Gap=0.009726      sigma=30.694625    Gap=0.069860
   6:  mu=320.000000   Gap=0.027356      sigma=30.876096    Gap=0.064361
   7:  mu=317.428571   Gap=0.035172      sigma=29.271425    Gap=0.112987
   8:  mu=314.000000   Gap=0.045593      sigma=28.844410    Gap=0.125927
   9:  mu=317.555556   Gap=0.034786      sigma=28.994678    Gap=0.121373
  10:  mu=321.500000   Gap=0.022796      sigma=29.944115    Gap=0.092603
  11:  mu=322.090909   Gap=0.021000      sigma=28.611678    Gap=0.132979
  12:  mu=324.750000   Gap=0.012918      sigma=28.778247    Gap=0.127932
  13:  mu=325.923077   Gap=0.009352      sigma=27.946271    Gap=0.153143
  14:  mu=328.785714   Gap=0.000651      sigma=28.839899    Gap=0.126064
  15:  mu=329.600000   Gap=0.001824      sigma=28.028081    Gap=0.150664
  16:  mu=328.750000   Gap=0.000760      sigma=27.337017    Gap=0.171606
  17:  mu=327.588235   Gap=0.004291      sigma=26.924860    Gap=0.184095
  18:  mu=328.555556   Gap=0.001351      sigma=26.468476    Gap=0.197925
  19:  mu=325.473684   Gap=0.010718      sigma=28.890662    Gap=0.124525
  20:  mu=324.550000   Gap=0.013526      sigma=28.445518    Gap=0.138015
  21:  mu=327.333333   Gap=0.005066      sigma=30.422945    Gap=0.078093
  22:  mu=327.454545   Gap=0.004697      sigma=29.728663    Gap=0.099131
  23:  mu=327.260870   Gap=0.005286      sigma=29.089394    Gap=0.118503
  24:  mu=324.333333   Gap=0.014184      sigma=31.749891    Gap=0.037882
  25:  mu=322.560000   Gap=0.019574      sigma=32.298706    Gap=0.021251
  26:  mu=320.769231   Gap=0.025018      sigma=32.912831    Gap=0.002641
  27:  mu=319.518519   Gap=0.028819      sigma=32.921197    Gap=0.002388
  28:  mu=318.821429   Gap=0.030938      sigma=32.530265    Gap=0.014234
  29:  mu=318.724138   Gap=0.031234      sigma=31.968623    Gap=0.031254
  30:  mu=319.933333   Gap=0.027558      sigma=32.098737    Gap=0.027311
  31:  mu=319.806452   Gap=0.027944      sigma=31.584418    Gap=0.042896
  32:  mu=320.187500   Gap=0.026786      sigma=31.159306    Gap=0.055779
  33:  mu=321.666667   Gap=0.022290      sigma=31.804008    Gap=0.036242
  34:  mu=321.970588   Gap=0.021366      sigma=31.381416    Gap=0.049048
  35:  mu=322.685714   Gap=0.019192      sigma=31.209679    Gap=0.054252
  36:  mu=322.805556   Gap=0.018828      sigma=30.781325    Gap=0.067233
  37:  mu=322.783784   Gap=0.018894      sigma=30.362793    Gap=0.079915
  38:  mu=323.026316   Gap=0.018157      sigma=29.996918    Gap=0.091002
  39:  mu=322.461538   Gap=0.019874      sigma=29.813821    Gap=0.096551
  40:  mu=322.575000   Gap=0.019529      sigma=29.447315    Gap=0.107657
  41:  mu=323.756098   Gap=0.015939      sigma=30.029888    Gap=0.090003
  42:  mu=325.214286   Gap=0.011507      sigma=31.104689    Gap=0.057434
  43:  mu=325.232558   Gap=0.011451      sigma=30.741107    Gap=0.068451
  44:  mu=324.045455   Gap=0.015059      sigma=31.370915    Gap=0.049366
  45:  mu=325.066667   Gap=0.011955      sigma=31.751395    Gap=0.037837
  46:  mu=324.108696   Gap=0.014867      sigma=32.055135    Gap=0.028632
  47:  mu=324.234043   Gap=0.014486      sigma=31.723683    Gap=0.038676
  48:  mu=323.000000   Gap=0.018237      sigma=32.511536    Gap=0.014802
  49:  mu=322.591837   Gap=0.019478      sigma=32.302093    Gap=0.021149
  50:  mu=321.280000   Gap=0.023465      sigma=33.269830    Gap=0.008177
  51:  mu=321.137255   Gap=0.023899      sigma=32.957501    Gap=0.001288
  52:  mu=321.038462   Gap=0.024199      sigma=32.646688    Gap=0.010706
  53:  mu=320.283019   Gap=0.026495      sigma=32.792876    Gap=0.006276
  54:  mu=320.370370   Gap=0.026230      sigma=32.494043    Gap=0.015332
  55:  mu=320.545455   Gap=0.025698      sigma=32.222983    Gap=0.023546
  56:  mu=320.660714   Gap=0.025347      sigma=31.945420    Gap=0.031957
  57:  mu=321.543860   Gap=0.022663      sigma=32.346301    Gap=0.019809
  58:  mu=321.965517   Gap=0.021381      sigma=32.223875    Gap=0.023519
  59:  mu=321.932203   Gap=0.021483      sigma=31.950632    Gap=0.031799
  60:  mu=322.216667   Gap=0.020618      sigma=31.758512    Gap=0.037621
  61:  mu=322.852459   Gap=0.018686      sigma=31.879813    Gap=0.033945
  62:  mu=322.774194   Gap=0.018923      sigma=31.627581    Gap=0.041588
  63:  mu=322.095238   Gap=0.020987      sigma=31.827768    Gap=0.035522
  64:  mu=323.015625   Gap=0.018190      sigma=32.412137    Gap=0.017814
  65:  mu=323.107692   Gap=0.017910      sigma=32.170279    Gap=0.025143
  66:  mu=323.545455   Gap=0.016579      sigma=32.120126    Gap=0.026663
  67:  mu=323.373134   Gap=0.017103      sigma=31.910245    Gap=0.033023
  68:  mu=324.485294   Gap=0.013723      sigma=32.956965    Gap=0.001304
  69:  mu=324.652174   Gap=0.013215      sigma=32.746203    Gap=0.007691
  70:  mu=324.185714   Gap=0.014633      sigma=32.741539    Gap=0.007832
  71:  mu=324.943662   Gap=0.012329      sigma=33.122856    Gap=0.003723
  72:  mu=324.750000   Gap=0.012918      sigma=32.932486    Gap=0.002046
  73:  mu=324.835616   Gap=0.012658      sigma=32.714210    Gap=0.008660
  74:  mu=324.783784   Gap=0.012815      sigma=32.495434    Gap=0.015290
  75:  mu=325.146667   Gap=0.011712      sigma=32.428668    Gap=0.017313
  76:  mu=324.763158   Gap=0.012878      sigma=32.385372    Gap=0.018625
  77:  mu=325.038961   Gap=0.012040      sigma=32.264106    Gap=0.022300
  78:  mu=325.589744   Gap=0.010366      sigma=32.418907    Gap=0.017609
  79:  mu=325.518987   Gap=0.010581      sigma=32.219131    Gap=0.023663
  80:  mu=325.775000   Gap=0.009802      sigma=32.097887    Gap=0.027337
  81:  mu=326.049383   Gap=0.008968      sigma=31.993403    Gap=0.030503
  82:  mu=325.841463   Gap=0.009600      sigma=31.852736    Gap=0.034766
  83:  mu=325.518072   Gap=0.010583      sigma=31.795416    Gap=0.036503
  84:  mu=325.940476   Gap=0.009299      sigma=31.839011    Gap=0.035181
  85:  mu=325.211765   Gap=0.011514      sigma=32.348141    Gap=0.019753
  86:  mu=324.953488   Gap=0.012299      sigma=32.247555    Gap=0.022801
  87:  mu=324.551724   Gap=0.013521      sigma=32.277446    Gap=0.021896
  88:  mu=324.511364   Gap=0.013643      sigma=32.095735    Gap=0.027402
  89:  mu=324.011236   Gap=0.015163      sigma=32.257912    Gap=0.022488
  90:  mu=324.133333   Gap=0.014792      sigma=32.098875    Gap=0.027307
  91:  mu=324.329670   Gap=0.014196      sigma=31.976315    Gap=0.031021
  92:  mu=324.326087   Gap=0.014206      sigma=31.802074    Gap=0.036301
  93:  mu=324.215054   Gap=0.014544      sigma=31.648557    Gap=0.040953
