任务数量： 500
实际：mu=137.000000   sigma=15.000000

   1:  mu=124.000000   Gap=0.094891      sigma=0.000000    Gap=1.000000
   2:  mu=125.500000   Gap=0.083942      sigma=1.500000    Gap=0.900000
   3:  mu=137.333333   Gap=0.002433      sigma=16.779617    Gap=0.118641
   4:  mu=136.750000   Gap=0.001825      sigma=14.566657    Gap=0.028890
   5:  mu=136.000000   Gap=0.007299      sigma=13.114877    Gap=0.125675
   6:  mu=140.500000   Gap=0.025547      sigma=15.639160    Gap=0.042611
   7:  mu=139.857143   Gap=0.020855      sigma=14.564424    Gap=0.029038
   8:  mu=141.250000   Gap=0.031022      sigma=14.113380    Gap=0.059108
   9:  mu=137.222222   Gap=0.001622      sigma=17.516835    Gap=0.167789
  10:  mu=138.100000   Gap=0.008029      sigma=16.825279    Gap=0.121685
  11:  mu=139.090909   Gap=0.015262      sigma=16.345444    Gap=0.089696
  12:  mu=137.250000   Gap=0.001825      sigma=16.798437    Gap=0.119896
  13:  mu=136.153846   Gap=0.006176      sigma=16.580091    Gap=0.105339
  14:  mu=135.500000   Gap=0.010949      sigma=16.149967    Gap=0.076664
  15:  mu=136.200000   Gap=0.005839      sigma=15.820662    Gap=0.054711
  16:  mu=135.375000   Gap=0.011861      sigma=15.647983    Gap=0.043199
  17:  mu=136.588235   Gap=0.003006      sigma=15.937595    Gap=0.062506
  18:  mu=135.055556   Gap=0.014193      sigma=16.728127    Gap=0.115208
  19:  mu=136.105263   Gap=0.006531      sigma=16.880056    Gap=0.125337
  20:  mu=137.000000   Gap=0.000000      sigma=16.908578    Gap=0.127239
  21:  mu=138.142857   Gap=0.008342      sigma=17.274495    Gap=0.151633
  22:  mu=138.090909   Gap=0.007963      sigma=16.879005    Gap=0.125267
  23:  mu=139.043478   Gap=0.014916      sigma=17.101941    Gap=0.140129
  24:  mu=138.416667   Gap=0.010341      sigma=17.009597    Gap=0.133973
  25:  mu=137.920000   Gap=0.006715      sigma=16.842613    Gap=0.122841
  26:  mu=138.307692   Gap=0.009545      sigma=16.628912    Gap=0.108594
  27:  mu=138.296296   Gap=0.009462      sigma=16.318167    Gap=0.087878
  28:  mu=137.928571   Gap=0.006778      sigma=16.137641    Gap=0.075843
  29:  mu=136.689655   Gap=0.002265      sigma=17.158698    Gap=0.143913
  30:  mu=136.266667   Gap=0.005353      sigma=17.023383    Gap=0.134892
  31:  mu=136.161290   Gap=0.006122      sigma=16.756504    Gap=0.117100
  32:  mu=135.937500   Gap=0.007755      sigma=16.539607    Gap=0.102640
  33:  mu=135.696970   Gap=0.009511      sigma=16.343815    Gap=0.089588
  34:  mu=135.470588   Gap=0.011164      sigma=16.154102    Gap=0.076940
  35:  mu=135.085714   Gap=0.013973      sigma=16.079039    Gap=0.071936
  36:  mu=135.083333   Gap=0.013990      sigma=15.854153    Gap=0.056944
  37:  mu=135.486486   Gap=0.011048      sigma=15.824411    Gap=0.054961
  38:  mu=135.342105   Gap=0.012101      sigma=15.639485    Gap=0.042632
  39:  mu=135.820513   Gap=0.008609      sigma=15.716840    Gap=0.047789
  40:  mu=135.550000   Gap=0.010584      sigma=15.610814    Gap=0.040721
  41:  mu=135.707317   Gap=0.009436      sigma=15.451330    Gap=0.030089
  42:  mu=135.285714   Gap=0.012513      sigma=15.503127    Gap=0.033542
  43:  mu=135.441860   Gap=0.011373      sigma=15.355178    Gap=0.023679
  44:  mu=135.681818   Gap=0.009622      sigma=15.261021    Gap=0.017401
  45:  mu=135.355556   Gap=0.012003      sigma=15.244898    Gap=0.016327
  46:  mu=135.760870   Gap=0.009045      sigma=15.321461    Gap=0.021431
  47:  mu=136.000000   Gap=0.007299      sigma=15.244113    Gap=0.016274
  48:  mu=136.041667   Gap=0.006995      sigma=15.087189    Gap=0.005813
  49:  mu=136.469388   Gap=0.003873      sigma=15.223642    Gap=0.014909
  50:  mu=136.580000   Gap=0.003066      sigma=15.090514    Gap=0.006034
  51:  mu=136.313725   Gap=0.005009      sigma=15.059998    Gap=0.004000
  52:  mu=136.615385   Gap=0.002807      sigma=15.069268    Gap=0.004618
  53:  mu=136.283019   Gap=0.005233      sigma=15.117624    Gap=0.007842
  54:  mu=136.555556   Gap=0.003244      sigma=15.107843    Gap=0.007190
  55:  mu=136.563636   Gap=0.003185      sigma=14.969987    Gap=0.002001
  56:  mu=136.410714   Gap=0.004301      sigma=14.879008    Gap=0.008066
  57:  mu=135.649123   Gap=0.009860      sigma=15.810824    Gap=0.054055
  58:  mu=135.965517   Gap=0.007551      sigma=15.854908    Gap=0.056994
  59:  mu=136.220339   Gap=0.005691      sigma=15.839307    Gap=0.055954
  60:  mu=136.600000   Gap=0.002920      sigma=15.975189    Gap=0.065013
