任务数量： 500
实际：mu=342.000000   sigma=51.000000

   1:  mu=322.000000   Gap=0.058480      sigma=0.000000    Gap=1.000000
   2:  mu=370.000000   Gap=0.081871      sigma=48.000000    Gap=0.058824
   3:  mu=354.000000   Gap=0.035088      sigma=45.254834    Gap=0.112650
   4:  mu=327.250000   Gap=0.043129      sigma=60.685151    Gap=0.189905
   5:  mu=309.800000   Gap=0.094152      sigma=64.530303    Gap=0.265300
   6:  mu=310.166667   Gap=0.093080      sigma=58.913543    Gap=0.155168
   7:  mu=322.571429   Gap=0.056809      sigma=62.435926    Gap=0.224234
   8:  mu=328.125000   Gap=0.040570      sigma=60.223412    Gap=0.180851
   9:  mu=323.444444   Gap=0.054256      sigma=58.302108    Gap=0.143179
  10:  mu=335.200000   Gap=0.019883      sigma=65.596951    Gap=0.286215
  11:  mu=339.000000   Gap=0.008772      sigma=63.688161    Gap=0.248787
  12:  mu=337.000000   Gap=0.014620      sigma=61.336504    Gap=0.202677
  13:  mu=336.461538   Gap=0.016194      sigma=58.959719    Gap=0.156073
  14:  mu=342.785714   Gap=0.002297      sigma=61.219953    Gap=0.200391
  15:  mu=336.666667   Gap=0.015595      sigma=63.420992    Gap=0.243549
  16:  mu=334.562500   Gap=0.021747      sigma=61.945509    Gap=0.214618
  17:  mu=329.176471   Gap=0.037496      sigma=63.841011    Gap=0.251785
  18:  mu=329.944444   Gap=0.035250      sigma=62.123061    Gap=0.218099
  19:  mu=331.263158   Gap=0.031394      sigma=60.724435    Gap=0.190675
  20:  mu=331.900000   Gap=0.029532      sigma=59.251920    Gap=0.161802
  21:  mu=332.047619   Gap=0.029101      sigma=57.827721    Gap=0.133877
  22:  mu=332.090909   Gap=0.028974      sigma=56.498519    Gap=0.107814
  23:  mu=332.956522   Gap=0.026443      sigma=55.405602    Gap=0.086384
  24:  mu=333.291667   Gap=0.025463      sigma=54.262847    Gap=0.063977
  25:  mu=332.920000   Gap=0.026550      sigma=53.197684    Gap=0.043092
  26:  mu=336.076923   Gap=0.017319      sigma=54.500475    Gap=0.068637
  27:  mu=334.444444   Gap=0.022092      sigma=54.125597    Gap=0.061286
  28:  mu=335.642857   Gap=0.018588      sigma=53.513826    Gap=0.049291
  29:  mu=334.275862   Gap=0.022585      sigma=53.078274    Gap=0.040750
  30:  mu=334.033333   Gap=0.023294      sigma=52.202480    Gap=0.023578
  31:  mu=330.451613   Gap=0.033767      sigma=54.973213    Gap=0.077906
  32:  mu=330.937500   Gap=0.032346      sigma=54.175027    Gap=0.062255
  33:  mu=330.151515   Gap=0.034645      sigma=53.532840    Gap=0.049664
  34:  mu=330.088235   Gap=0.034830      sigma=52.740969    Gap=0.034137
  35:  mu=330.742857   Gap=0.032916      sigma=52.122023    Gap=0.022000
  36:  mu=329.416667   Gap=0.036793      sigma=51.988447    Gap=0.019381
  37:  mu=328.000000   Gap=0.040936      sigma=51.980766    Gap=0.019231
  38:  mu=326.105263   Gap=0.046476      sigma=52.571150    Gap=0.030807
  39:  mu=326.641026   Gap=0.044909      sigma=51.997775    Gap=0.019564
  40:  mu=326.950000   Gap=0.044006      sigma=51.379933    Gap=0.007450
  41:  mu=329.000000   Gap=0.038012      sigma=52.379478    Gap=0.027049
  42:  mu=331.047619   Gap=0.032025      sigma=53.387154    Gap=0.046807
  43:  mu=331.860465   Gap=0.029648      sigma=53.025041    Gap=0.039707
  44:  mu=331.204545   Gap=0.031566      sigma=52.595186    Gap=0.031278
  45:  mu=331.711111   Gap=0.030084      sigma=52.115949    Gap=0.021881
  46:  mu=332.804348   Gap=0.026888      sigma=52.065435    Gap=0.020891
  47:  mu=333.851064   Gap=0.023827      sigma=51.995490    Gap=0.019519
  48:  mu=336.729167   Gap=0.015412      sigma=55.104726    Gap=0.080485
  49:  mu=337.693878   Gap=0.012591      sigma=54.947546    Gap=0.077403
  50:  mu=338.160000   Gap=0.011228      sigma=54.493067    Gap=0.068492
  51:  mu=337.882353   Gap=0.012040      sigma=53.991883    Gap=0.058664
  52:  mu=337.326923   Gap=0.013664      sigma=53.617133    Gap=0.051316
  53:  mu=337.169811   Gap=0.014123      sigma=53.120985    Gap=0.041588
  54:  mu=336.074074   Gap=0.017327      sigma=53.227969    Gap=0.043686
  55:  mu=334.981818   Gap=0.020521      sigma=53.349104    Gap=0.046061
  56:  mu=335.464286   Gap=0.019110      sigma=52.991564    Gap=0.039050
  57:  mu=334.403509   Gap=0.022212      sigma=53.121133    Gap=0.041591
  58:  mu=334.258621   Gap=0.022636      sigma=52.672561    Gap=0.032795
  59:  mu=333.915254   Gap=0.023640      sigma=52.289704    Gap=0.025288
  60:  mu=333.750000   Gap=0.024123      sigma=51.867660    Gap=0.017013
  61:  mu=335.213115   Gap=0.019845      sigma=52.674414    Gap=0.032832
  62:  mu=336.225806   Gap=0.016884      sigma=52.843170    Gap=0.036141
  63:  mu=336.285714   Gap=0.016708      sigma=52.424225    Gap=0.027926
  64:  mu=335.765625   Gap=0.018229      sigma=52.176606    Gap=0.023071
  65:  mu=335.323077   Gap=0.019523      sigma=51.894600    Gap=0.017541
  66:  mu=336.484848   Gap=0.016126      sigma=52.344790    Gap=0.026368
