任务数量： 500
实际：mu=349.000000   sigma=51.000000

   1:  mu=359.000000   Gap=0.028653      sigma=0.000000    Gap=1.000000
   2:  mu=370.000000   Gap=0.060172      sigma=11.000000    Gap=0.784314
   3:  mu=381.333333   Gap=0.092646      sigma=18.372685    Gap=0.639751
   4:  mu=372.750000   Gap=0.068052      sigma=21.775847    Gap=0.573023
   5:  mu=356.800000   Gap=0.022350      sigma=37.375928    Gap=0.267139
   6:  mu=349.666667   Gap=0.001910      sigma=37.663717    Gap=0.261496
   7:  mu=349.142857   Gap=0.000409      sigma=34.893424    Gap=0.315815
   8:  mu=345.750000   Gap=0.009312      sigma=33.851699    Gap=0.336241
   9:  mu=349.555556   Gap=0.001592      sigma=33.681881    Gap=0.339571
  10:  mu=351.500000   Gap=0.007163      sigma=32.481533    Gap=0.363107
  11:  mu=355.363636   Gap=0.018234      sigma=33.292840    Gap=0.347199
  12:  mu=358.833333   Gap=0.028176      sigma=33.889117    Gap=0.335508
  13:  mu=360.846154   Gap=0.033943      sigma=33.297831    Gap=0.347101
  14:  mu=356.357143   Gap=0.021081      sigma=35.937659    Gap=0.295340
  15:  mu=356.400000   Gap=0.021203      sigma=34.719447    Gap=0.319227
  16:  mu=356.875000   Gap=0.022564      sigma=33.667260    Gap=0.339858
  17:  mu=356.823529   Gap=0.022417      sigma=32.662688    Gap=0.359555
  18:  mu=358.500000   Gap=0.027221      sigma=32.486322    Gap=0.363013
  19:  mu=358.000000   Gap=0.025788      sigma=31.690942    Gap=0.378609
  20:  mu=355.900000   Gap=0.019771      sigma=32.216300    Gap=0.368308
  21:  mu=355.333333   Gap=0.018147      sigma=31.541859    Gap=0.381532
  22:  mu=351.318182   Gap=0.006642      sigma=35.891739    Gap=0.296240
  23:  mu=349.217391   Gap=0.000623      sigma=36.459574    Gap=0.285106
  24:  mu=351.458333   Gap=0.007044      sigma=37.274857    Gap=0.269120
  25:  mu=350.200000   Gap=0.003438      sigma=37.038358    Gap=0.273758
  26:  mu=346.576923   Gap=0.006943      sigma=40.586255    Gap=0.204191
  27:  mu=347.814815   Gap=0.003396      sigma=40.324643    Gap=0.209321
  28:  mu=345.464286   Gap=0.010131      sigma=41.438838    Gap=0.187474
  29:  mu=344.586207   Gap=0.012647      sigma=40.982349    Gap=0.196425
  30:  mu=338.733333   Gap=0.029417      sigma=51.156579    Gap=0.003070
  31:  mu=335.838710   Gap=0.037711      sigma=52.763072    Gap=0.034570
  32:  mu=336.843750   Gap=0.034832      sigma=52.232718    Gap=0.024171
  33:  mu=339.515152   Gap=0.027177      sigma=53.609204    Gap=0.051161
  34:  mu=340.176471   Gap=0.025282      sigma=52.951404    Gap=0.038263
  35:  mu=342.971429   Gap=0.017274      sigma=54.674876    Gap=0.072056
  36:  mu=342.944444   Gap=0.017351      sigma=53.910391    Gap=0.057066
  37:  mu=342.837838   Gap=0.017657      sigma=53.180729    Gap=0.042759
  38:  mu=341.052632   Gap=0.022772      sigma=53.588072    Gap=0.050747
  39:  mu=341.512821   Gap=0.021453      sigma=52.972597    Gap=0.038678
  40:  mu=343.525000   Gap=0.015688      sigma=53.794511    Gap=0.054794
  41:  mu=344.902439   Gap=0.011741      sigma=53.843860    Gap=0.055762
  42:  mu=344.309524   Gap=0.013440      sigma=53.334295    Gap=0.045770
  43:  mu=344.558140   Gap=0.012727      sigma=52.735100    Gap=0.034022
  44:  mu=346.022727   Gap=0.008531      sigma=53.009643    Gap=0.039405
  45:  mu=346.533333   Gap=0.007068      sigma=52.526649    Gap=0.029934
  46:  mu=345.673913   Gap=0.009530      sigma=52.271471    Gap=0.024931
  47:  mu=346.680851   Gap=0.006645      sigma=52.161413    Gap=0.022773
  48:  mu=345.625000   Gap=0.009670      sigma=52.120304    Gap=0.021967
  49:  mu=346.265306   Gap=0.007836      sigma=51.776118    Gap=0.015218
  50:  mu=344.480000   Gap=0.012951      sigma=52.757271    Gap=0.034456
  51:  mu=345.117647   Gap=0.011124      sigma=52.431710    Gap=0.028073
  52:  mu=345.615385   Gap=0.009698      sigma=52.046634    Gap=0.020522
  53:  mu=343.962264   Gap=0.014435      sigma=52.913586    Gap=0.037521
  54:  mu=344.111111   Gap=0.014008      sigma=52.432555    Gap=0.028089
  55:  mu=344.090909   Gap=0.014066      sigma=51.953921    Gap=0.018704
  56:  mu=344.035714   Gap=0.014224      sigma=51.489584    Gap=0.009600
  57:  mu=345.473684   Gap=0.010104      sigma=52.158028    Gap=0.022706
  58:  mu=344.500000   Gap=0.012894      sigma=52.226381    Gap=0.024047
  59:  mu=344.288136   Gap=0.013501      sigma=51.807025    Gap=0.015824
  60:  mu=344.133333   Gap=0.013945      sigma=51.387244    Gap=0.007593
  61:  mu=343.344262   Gap=0.016206      sigma=51.329500    Gap=0.006461
  62:  mu=342.983871   Gap=0.017238      sigma=50.991616    Gap=0.000164
  63:  mu=343.777778   Gap=0.014963      sigma=50.970095    Gap=0.000586
  64:  mu=344.609375   Gap=0.012581      sigma=50.999270    Gap=0.000014
  65:  mu=345.984615   Gap=0.008640      sigma=51.787582    Gap=0.015443
  66:  mu=345.636364   Gap=0.009638      sigma=51.470391    Gap=0.009223
  67:  mu=345.552239   Gap=0.009879      sigma=51.089411    Gap=0.001753
  68:  mu=345.073529   Gap=0.011251      sigma=50.863519    Gap=0.002676
  69:  mu=345.159420   Gap=0.011005      sigma=50.498565    Gap=0.009832
  70:  mu=344.785714   Gap=0.012075      sigma=50.232571    Gap=0.015048
  71:  mu=346.098592   Gap=0.008313      sigma=51.072761    Gap=0.001427
  72:  mu=345.416667   Gap=0.010267      sigma=51.041310    Gap=0.000810
  73:  mu=344.794521   Gap=0.012050      sigma=50.964656    Gap=0.000693
  74:  mu=344.391892   Gap=0.013204      sigma=50.735887    Gap=0.005179
  75:  mu=343.386667   Gap=0.016084      sigma=51.133001    Gap=0.002608
  76:  mu=343.815789   Gap=0.014854      sigma=50.931252    Gap=0.001348
  77:  mu=343.935065   Gap=0.014513      sigma=50.610131    Gap=0.007644
  78:  mu=343.628205   Gap=0.015392      sigma=50.356704    Gap=0.012614
  79:  mu=343.848101   Gap=0.014762      sigma=50.074650    Gap=0.018144
  80:  mu=344.050000   Gap=0.014183      sigma=49.793047    Gap=0.023666
  81:  mu=343.888889   Gap=0.014645      sigma=49.505705    Gap=0.029300
  82:  mu=344.963415   Gap=0.011566      sigma=50.144291    Gap=0.016779
  83:  mu=344.843373   Gap=0.011910      sigma=49.853154    Gap=0.022487
  84:  mu=344.023810   Gap=0.014258      sigma=50.114862    Gap=0.017356
  85:  mu=344.658824   Gap=0.012439      sigma=50.157998    Gap=0.016510
  86:  mu=345.488372   Gap=0.010062      sigma=50.448626    Gap=0.010811
  87:  mu=345.413793   Gap=0.010276      sigma=50.162621    Gap=0.016419
  88:  mu=345.511364   Gap=0.009996      sigma=49.885094    Gap=0.021861
  89:  mu=346.044944   Gap=0.008467      sigma=49.855952    Gap=0.022432
  90:  mu=345.811111   Gap=0.009137      sigma=49.627254    Gap=0.026917
  91:  mu=345.274725   Gap=0.010674      sigma=49.615459    Gap=0.027148
  92:  mu=344.739130   Gap=0.012209      sigma=49.608877    Gap=0.027277
  93:  mu=344.580645   Gap=0.012663      sigma=49.364852    Gap=0.032062
  94:  mu=344.340426   Gap=0.013351      sigma=49.156189    Gap=0.036153
  95:  mu=344.726316   Gap=0.012246      sigma=49.039714    Gap=0.038437
  96:  mu=343.927083   Gap=0.014536      sigma=49.401679    Gap=0.031340
  97:  mu=344.484536   Gap=0.012938      sigma=49.448946    Gap=0.030413
  98:  mu=344.785714   Gap=0.012075      sigma=49.285352    Gap=0.033621
  99:  mu=343.888889   Gap=0.014645      sigma=49.833032    Gap=0.022882
 100:  mu=343.910000   Gap=0.014585      sigma=49.583686    Gap=0.027771
 101:  mu=343.623762   Gap=0.015405      sigma=49.420574    Gap=0.030969
 102:  mu=344.607843   Gap=0.012585      sigma=50.162316    Gap=0.016425
 103:  mu=344.834951   Gap=0.011934      sigma=49.970884    Gap=0.020179
 104:  mu=344.423077   Gap=0.013114      sigma=49.905428    Gap=0.021462
 105:  mu=344.561905   Gap=0.012717      sigma=49.687389    Gap=0.025737
 106:  mu=344.415094   Gap=0.013137      sigma=49.475336    Gap=0.029895
 107:  mu=344.224299   Gap=0.013684      sigma=49.282764    Gap=0.033671
 108:  mu=344.212963   Gap=0.013716      sigma=49.054212    Gap=0.038153
 109:  mu=345.807339   Gap=0.009148      sigma=51.563353    Gap=0.011046
 110:  mu=346.281818   Gap=0.007788      sigma=51.566926    Gap=0.011116
 111:  mu=346.027027   Gap=0.008519      sigma=51.403624    Gap=0.007914
 112:  mu=346.053571   Gap=0.008442      sigma=51.174394    Gap=0.003419
 113:  mu=346.141593   Gap=0.008190      sigma=50.955970    Gap=0.000863
 114:  mu=346.649123   Gap=0.006736      sigma=51.018054    Gap=0.000354
 115:  mu=347.591304   Gap=0.004036      sigma=51.782303    Gap=0.015339
 116:  mu=347.663793   Gap=0.003829      sigma=51.564480    Gap=0.011068
 117:  mu=348.239316   Gap=0.002180      sigma=51.716461    Gap=0.014048
 118:  mu=348.322034   Gap=0.001943      sigma=51.504629    Gap=0.009895
 119:  mu=348.697479   Gap=0.000867      sigma=51.449666    Gap=0.008817
 120:  mu=348.808333   Gap=0.000549      sigma=51.249113    Gap=0.004885
 121:  mu=348.504132   Gap=0.001421      sigma=51.145575    Gap=0.002854
 122:  mu=348.639344   Gap=0.001033      sigma=50.957241    Gap=0.000838
 123:  mu=348.674797   Gap=0.000932      sigma=50.751186    Gap=0.004879
