任务数量： 500
实际：mu=134.000000   sigma=12.000000

   1:  mu=131.000000   Gap=0.022388      sigma=0.000000    Gap=1.000000
   2:  mu=127.000000   Gap=0.052239      sigma=4.000000    Gap=0.666667
   3:  mu=132.000000   Gap=0.014925      sigma=7.788881    Gap=0.350927
   4:  mu=132.750000   Gap=0.009328      sigma=6.869316    Gap=0.427557
   5:  mu=136.000000   Gap=0.014925      sigma=8.944272    Gap=0.254644
   6:  mu=131.666667   Gap=0.017413      sigma=12.671052    Gap=0.055921
   7:  mu=134.285714   Gap=0.002132      sigma=13.370696    Gap=0.114225
   8:  mu=132.625000   Gap=0.010261      sigma=13.256484    Gap=0.104707
   9:  mu=132.444444   Gap=0.011609      sigma=12.508762    Gap=0.042397
  10:  mu=131.900000   Gap=0.015672      sigma=11.978731    Gap=0.001772
  11:  mu=131.545455   Gap=0.018318      sigma=11.476170    Gap=0.043652
  12:  mu=132.000000   Gap=0.014925      sigma=11.090537    Gap=0.075789
  13:  mu=132.076923   Gap=0.014351      sigma=10.658774    Gap=0.111769
  14:  mu=133.214286   Gap=0.005864      sigma=11.059441    Gap=0.078380
  15:  mu=131.933333   Gap=0.015423      sigma=11.710204    Gap=0.024150
  16:  mu=132.437500   Gap=0.011660      sigma=11.505264    Gap=0.041228
  17:  mu=132.294118   Gap=0.012730      sigma=11.176471    Gap=0.068627
  18:  mu=131.611111   Gap=0.017828      sigma=11.220709    Gap=0.064941
  19:  mu=132.526316   Gap=0.010998      sigma=11.591142    Gap=0.034072
  20:  mu=133.300000   Gap=0.005224      sigma=11.790250    Gap=0.017479
  21:  mu=132.761905   Gap=0.009240      sigma=11.755059    Gap=0.020412
  22:  mu=132.454545   Gap=0.011533      sigma=11.570838    Gap=0.035763
  23:  mu=132.130435   Gap=0.013952      sigma=11.418156    Gap=0.048487
  24:  mu=133.250000   Gap=0.005597      sigma=12.400437    Gap=0.033370
  25:  mu=133.360000   Gap=0.004776      sigma=12.161842    Gap=0.013487
  26:  mu=132.961538   Gap=0.007750      sigma=12.090940    Gap=0.007578
  27:  mu=132.518519   Gap=0.011056      sigma=12.078050    Gap=0.006504
  28:  mu=133.500000   Gap=0.003731      sigma=12.910406    Gap=0.075867
  29:  mu=134.034483   Gap=0.000257      sigma=12.997301    Gap=0.083108
  30:  mu=134.033333   Gap=0.000249      sigma=12.778845    Gap=0.064904
  31:  mu=133.741935   Gap=0.001926      sigma=12.671960    Gap=0.055997
  32:  mu=133.843750   Gap=0.001166      sigma=12.485265    Gap=0.040439
  33:  mu=134.393939   Gap=0.002940      sigma=12.682461    Gap=0.056872
  34:  mu=134.323529   Gap=0.002414      sigma=12.501107    Gap=0.041759
  35:  mu=134.200000   Gap=0.001493      sigma=12.342262    Gap=0.028522
  36:  mu=134.388889   Gap=0.002902      sigma=12.220833    Gap=0.018403
  37:  mu=133.972973   Gap=0.000202      sigma=12.310151    Gap=0.025846
  38:  mu=134.236842   Gap=0.001767      sigma=12.252678    Gap=0.021056
  39:  mu=134.461538   Gap=0.003444      sigma=12.173629    Gap=0.014469
  40:  mu=134.100000   Gap=0.000746      sigma=12.230699    Gap=0.019225
  41:  mu=133.512195   Gap=0.003640      sigma=12.639701    Gap=0.053308
  42:  mu=133.619048   Gap=0.002843      sigma=12.507050    Gap=0.042254
  43:  mu=133.604651   Gap=0.002950      sigma=12.361116    Gap=0.030093
  44:  mu=133.977273   Gap=0.000170      sigma=12.461739    Gap=0.038478
  45:  mu=133.822222   Gap=0.001327      sigma=12.365344    Gap=0.030445
  46:  mu=134.282609   Gap=0.002109      sigma=12.614111    Gap=0.051176
  47:  mu=133.957447   Gap=0.000318      sigma=12.672566    Gap=0.056047
  48:  mu=133.937500   Gap=0.000466      sigma=12.540611    Gap=0.045051
  49:  mu=134.285714   Gap=0.002132      sigma=12.644269    Gap=0.053689
  50:  mu=134.440000   Gap=0.003284      sigma=12.563694    Gap=0.046974
  51:  mu=134.215686   Gap=0.001610      sigma=12.540622    Gap=0.045052
  52:  mu=134.403846   Gap=0.003014      sigma=12.491935    Gap=0.040995
  53:  mu=134.773585   Gap=0.005773      sigma=12.657523    Gap=0.054794
  54:  mu=134.925926   Gap=0.006910      sigma=12.588725    Gap=0.049060
  55:  mu=134.927273   Gap=0.006920      sigma=12.473761    Gap=0.039480
  56:  mu=135.000000   Gap=0.007463      sigma=12.373647    Gap=0.031137
  57:  mu=134.701754   Gap=0.005237      sigma=12.466045    Gap=0.038837
  58:  mu=134.758621   Gap=0.005661      sigma=12.365567    Gap=0.030464
  59:  mu=134.847458   Gap=0.006324      sigma=12.278980    Gap=0.023248
  60:  mu=135.066667   Gap=0.007960      sigma=12.292093    Gap=0.024341
  61:  mu=135.213115   Gap=0.009053      sigma=12.243586    Gap=0.020299
  62:  mu=135.306452   Gap=0.009750      sigma=12.166306    Gap=0.013859
  63:  mu=135.269841   Gap=0.009476      sigma=12.072803    Gap=0.006067
  64:  mu=135.078125   Gap=0.008046      sigma=12.074385    Gap=0.006199
  65:  mu=135.261538   Gap=0.009414      sigma=12.070660    Gap=0.005888
  66:  mu=135.348485   Gap=0.010063      sigma=11.999359    Gap=0.000053
  67:  mu=135.582090   Gap=0.011807      sigma=12.059738    Gap=0.004978
  68:  mu=135.529412   Gap=0.011414      sigma=11.978499    Gap=0.001792
  69:  mu=135.376812   Gap=0.010275      sigma=11.957778    Gap=0.003519
  70:  mu=135.428571   Gap=0.010661      sigma=11.879841    Gap=0.010013
  71:  mu=135.718310   Gap=0.012823      sigma=12.042394    Gap=0.003533
  72:  mu=135.486111   Gap=0.011090      sigma=12.117473    Gap=0.009789
  73:  mu=135.191781   Gap=0.008894      sigma=12.290611    Gap=0.024218
  74:  mu=135.108108   Gap=0.008269      sigma=12.228199    Gap=0.019017
  75:  mu=135.266667   Gap=0.009453      sigma=12.222747    Gap=0.018562
  76:  mu=135.460526   Gap=0.010899      sigma=12.257587    Gap=0.021466
  77:  mu=135.662338   Gap=0.012406      sigma=12.304165    Gap=0.025347
  78:  mu=135.576923   Gap=0.011768      sigma=12.247992    Gap=0.020666
  79:  mu=135.696203   Gap=0.012658      sigma=12.215734    Gap=0.017978
  80:  mu=135.725000   Gap=0.012873      sigma=12.141844    Gap=0.011820
  81:  mu=135.753086   Gap=0.013083      sigma=12.069276    Gap=0.005773
  82:  mu=135.512195   Gap=0.011285      sigma=12.189804    Gap=0.015817
  83:  mu=135.602410   Gap=0.011958      sigma=12.143658    Gap=0.011971
  84:  mu=135.583333   Gap=0.011816      sigma=12.072409    Gap=0.006034
