任务数量： 500
实际：mu=486.000000   sigma=33.000000

   1:  mu=452.000000   Gap=0.069959      sigma=0.000000    Gap=1.000000
   2:  mu=457.000000   Gap=0.059671      sigma=5.000000    Gap=0.848485
   3:  mu=457.666667   Gap=0.058299      sigma=4.189935    Gap=0.873032
   4:  mu=455.000000   Gap=0.063786      sigma=5.873670    Gap=0.822010
   5:  mu=464.200000   Gap=0.044856      sigma=19.135308    Gap=0.420142
   6:  mu=466.500000   Gap=0.040123      sigma=18.209430    Gap=0.448199
   7:  mu=462.000000   Gap=0.049383      sigma=20.142351    Gap=0.389626
   8:  mu=467.125000   Gap=0.038837      sigma=23.213345    Gap=0.296565
   9:  mu=466.333333   Gap=0.040466      sigma=22.000000    Gap=0.333333
  10:  mu=468.000000   Gap=0.037037      sigma=21.461594    Gap=0.349649
  11:  mu=471.090909   Gap=0.030677      sigma=22.677400    Gap=0.312806
  12:  mu=469.083333   Gap=0.034808      sigma=22.709977    Gap=0.311819
  13:  mu=470.307692   Gap=0.032289      sigma=22.227442    Gap=0.326441
  14:  mu=469.714286   Gap=0.033510      sigma=21.525495    Gap=0.347712
  15:  mu=473.600000   Gap=0.025514      sigma=25.374002    Gap=0.231091
  16:  mu=475.687500   Gap=0.021219      sigma=25.864355    Gap=0.216232
  17:  mu=479.882353   Gap=0.012588      sigma=30.185471    Gap=0.085289
  18:  mu=477.222222   Gap=0.018061      sigma=31.318357    Gap=0.050959
  19:  mu=475.947368   Gap=0.020684      sigma=30.959181    Gap=0.061843
  20:  mu=475.450000   Gap=0.021708      sigma=30.253058    Gap=0.083241
  21:  mu=477.380952   Gap=0.017735      sigma=30.760946    Gap=0.067850
  22:  mu=480.909091   Gap=0.010475      sigma=34.126648    Gap=0.034141
  23:  mu=480.956522   Gap=0.010378      sigma=33.377262    Gap=0.011432
  24:  mu=483.541667   Gap=0.005058      sigma=34.947555    Gap=0.059017
  25:  mu=485.160000   Gap=0.001728      sigma=35.147324    Gap=0.065070
  26:  mu=484.115385   Gap=0.003878      sigma=34.858314    Gap=0.056313
  27:  mu=484.444444   Gap=0.003201      sigma=34.247826    Gap=0.037813
  28:  mu=484.964286   Gap=0.002131      sigma=33.739000    Gap=0.022394
  29:  mu=485.758621   Gap=0.000497      sigma=33.417583    Gap=0.012654
  30:  mu=486.366667   Gap=0.000754      sigma=33.018665    Gap=0.000566
  31:  mu=485.806452   Gap=0.000398      sigma=32.626349    Gap=0.011323
  32:  mu=486.937500   Gap=0.001929      sigma=32.724167    Gap=0.008359
  33:  mu=485.242424   Gap=0.001559      sigma=33.620908    Gap=0.018815
  34:  mu=482.970588   Gap=0.006233      sigma=35.601128    Gap=0.078822
  35:  mu=483.457143   Gap=0.005232      sigma=35.203363    Gap=0.066769
  36:  mu=483.527778   Gap=0.005087      sigma=34.713499    Gap=0.051924
  37:  mu=484.270270   Gap=0.003559      sigma=34.529775    Gap=0.046357
  38:  mu=483.368421   Gap=0.005415      sigma=34.511189    Gap=0.045794
