任务数量： 500
实际：mu=471.000000   sigma=56.000000

   1:  mu=563.000000   Gap=0.195329      sigma=0.000000    Gap=1.000000
   2:  mu=483.500000   Gap=0.026539      sigma=79.500000    Gap=0.419643
   3:  mu=488.666667   Gap=0.037509      sigma=65.321427    Gap=0.166454
   4:  mu=510.500000   Gap=0.083864      sigma=68.045940    Gap=0.215106
   5:  mu=498.600000   Gap=0.058599      sigma=65.350134    Gap=0.166967
   6:  mu=503.000000   Gap=0.067941      sigma=60.462109    Gap=0.079681
   7:  mu=498.428571   Gap=0.058235      sigma=57.086043    Gap=0.019394
   8:  mu=486.625000   Gap=0.033174      sigma=61.860604    Gap=0.104654
   9:  mu=479.888889   Gap=0.018872      sigma=61.355873    Gap=0.095641
  10:  mu=479.100000   Gap=0.017197      sigma=58.255386    Gap=0.040275
  11:  mu=481.090909   Gap=0.021424      sigma=55.899999    Gap=0.001786
  12:  mu=476.416667   Gap=0.011500      sigma=55.720221    Gap=0.004996
  13:  mu=475.000000   Gap=0.008493      sigma=53.758720    Gap=0.040023
  14:  mu=466.571429   Gap=0.009402      sigma=60.059155    Gap=0.072485
  15:  mu=458.400000   Gap=0.026752      sigma=65.585364    Gap=0.171167
  16:  mu=459.250000   Gap=0.024947      sigma=63.588030    Gap=0.135501
  17:  mu=463.117647   Gap=0.016735      sigma=63.599743    Gap=0.135710
  18:  mu=465.444444   Gap=0.011795      sigma=62.547957    Gap=0.116928
  19:  mu=462.315789   Gap=0.018438      sigma=62.309966    Gap=0.112678
  20:  mu=460.250000   Gap=0.022824      sigma=61.396152    Gap=0.096360
  21:  mu=460.904762   Gap=0.021434      sigma=59.988018    Gap=0.071215
  22:  mu=463.363636   Gap=0.016213      sigma=59.682147    Gap=0.065753
  23:  mu=465.173913   Gap=0.012370      sigma=58.984635    Gap=0.053297
  24:  mu=467.000000   Gap=0.008493      sigma=58.403054    Gap=0.042912
  25:  mu=462.680000   Gap=0.017665      sigma=61.011291    Gap=0.089487
  26:  mu=462.384615   Gap=0.018292      sigma=59.844720    Gap=0.068656
  27:  mu=463.185185   Gap=0.016592      sigma=58.867734    Gap=0.051210
  28:  mu=463.892857   Gap=0.015089      sigma=57.923804    Gap=0.034354
  29:  mu=464.551724   Gap=0.013691      sigma=57.023036    Gap=0.018269
  30:  mu=464.333333   Gap=0.014154      sigma=56.076931    Gap=0.001374
  31:  mu=466.967742   Gap=0.008561      sigma=57.020926    Gap=0.018231
  32:  mu=469.781250   Gap=0.002588      sigma=58.268095    Gap=0.040502
  33:  mu=468.969697   Gap=0.004311      sigma=57.561816    Gap=0.027890
  34:  mu=468.647059   Gap=0.004996      sigma=56.739281    Gap=0.013201
  35:  mu=468.285714   Gap=0.005763      sigma=55.962524    Gap=0.000669
  36:  mu=467.833333   Gap=0.006723      sigma=55.244658    Gap=0.013488
  37:  mu=464.621622   Gap=0.013542      sigma=57.799912    Gap=0.032141
  38:  mu=464.894737   Gap=0.012962      sigma=57.058506    Gap=0.018902
  39:  mu=466.769231   Gap=0.008983      sigma=57.495356    Gap=0.026703
  40:  mu=465.900000   Gap=0.010828      sigma=57.031044    Gap=0.018412
  41:  mu=465.707317   Gap=0.011237      sigma=56.344430    Gap=0.006151
  42:  mu=465.095238   Gap=0.012537      sigma=55.807411    Gap=0.003439
  43:  mu=466.418605   Gap=0.009727      sigma=55.817490    Gap=0.003259
  44:  mu=464.750000   Gap=0.013270      sigma=56.253939    Gap=0.004535
  45:  mu=465.511111   Gap=0.011654      sigma=55.854025    Gap=0.002607
  46:  mu=465.391304   Gap=0.011908      sigma=55.249426    Gap=0.013403
  47:  mu=463.702128   Gap=0.015494      sigma=55.846261    Gap=0.002745
  48:  mu=464.770833   Gap=0.013225      sigma=55.745044    Gap=0.004553
  49:  mu=463.346939   Gap=0.016249      sigma=56.048285    Gap=0.000862
  50:  mu=464.660000   Gap=0.013461      sigma=56.241127    Gap=0.004306
  51:  mu=465.274510   Gap=0.012156      sigma=55.856286    Gap=0.002566
  52:  mu=466.653846   Gap=0.009228      sigma=56.186805    Gap=0.003336
  53:  mu=465.226415   Gap=0.012258      sigma=56.598100    Gap=0.010680
  54:  mu=463.888889   Gap=0.015098      sigma=56.910803    Gap=0.016264
  55:  mu=462.890909   Gap=0.017217      sigma=56.865926    Gap=0.015463
  56:  mu=464.232143   Gap=0.014369      sigma=57.226989    Gap=0.021911
  57:  mu=464.105263   Gap=0.014639      sigma=56.730723    Gap=0.013049
  58:  mu=465.258621   Gap=0.012190      sigma=56.909656    Gap=0.016244
  59:  mu=466.610169   Gap=0.009320      sigma=57.356458    Gap=0.024222
  60:  mu=466.900000   Gap=0.008705      sigma=56.920032    Gap=0.016429
  61:  mu=467.360656   Gap=0.007727      sigma=56.564205    Gap=0.010075
  62:  mu=467.096774   Gap=0.008287      sigma=56.144028    Gap=0.002572
  63:  mu=467.555556   Gap=0.007313      sigma=55.813686    Gap=0.003327
  64:  mu=467.765625   Gap=0.006867      sigma=55.401022    Gap=0.010696
  65:  mu=466.676923   Gap=0.009179      sigma=55.658881    Gap=0.006091
  66:  mu=465.333333   Gap=0.012031      sigma=56.287771    Gap=0.005139
  67:  mu=465.731343   Gap=0.011186      sigma=55.959629    Gap=0.000721
  68:  mu=466.661765   Gap=0.009211      sigma=56.066297    Gap=0.001184
  69:  mu=468.681159   Gap=0.004923      sigma=58.096245    Gap=0.037433
  70:  mu=468.285714   Gap=0.005763      sigma=57.773237    Gap=0.031665
  71:  mu=468.971831   Gap=0.004306      sigma=57.651447    Gap=0.029490
  72:  mu=468.458333   Gap=0.005396      sigma=57.412963    Gap=0.025231
  73:  mu=468.246575   Gap=0.005846      sigma=57.046672    Gap=0.018691
  74:  mu=467.567568   Gap=0.007288      sigma=56.956143    Gap=0.017074
  75:  mu=466.720000   Gap=0.009087      sigma=57.043039    Gap=0.018626
  76:  mu=468.210526   Gap=0.005922      sigma=58.118146    Gap=0.037824
  77:  mu=468.064935   Gap=0.006232      sigma=57.753470    Gap=0.031312
  78:  mu=468.102564   Gap=0.006152      sigma=57.383011    Gap=0.024697
  79:  mu=466.443038   Gap=0.009675      sigma=58.872260    Gap=0.051290
  80:  mu=467.437500   Gap=0.007564      sigma=59.167103    Gap=0.056555
