任务数量： 500
实际：mu=301.000000   sigma=37.000000

   1:  mu=289.000000   Gap=0.039867      sigma=0.000000    Gap=1.000000
   2:  mu=320.000000   Gap=0.063123      sigma=31.000000    Gap=0.162162
   3:  mu=323.333333   Gap=0.074197      sigma=25.746629    Gap=0.304145
   4:  mu=307.250000   Gap=0.020764      sigma=35.681753    Gap=0.035628
   5:  mu=303.800000   Gap=0.009302      sigma=32.652106    Gap=0.117511
   6:  mu=304.000000   Gap=0.009967      sigma=29.810513    Gap=0.194310
   7:  mu=300.571429   Gap=0.001424      sigma=28.848655    Gap=0.220307
   8:  mu=294.375000   Gap=0.022010      sigma=31.575059    Gap=0.146620
   9:  mu=300.333333   Gap=0.002215      sigma=34.208511    Gap=0.075446
  10:  mu=302.700000   Gap=0.005648      sigma=33.220626    Gap=0.102145
  11:  mu=299.545455   Gap=0.004832      sigma=33.208333    Gap=0.102477
  12:  mu=297.500000   Gap=0.011628      sigma=32.510255    Gap=0.121344
  13:  mu=300.846154   Gap=0.000511      sigma=33.316307    Gap=0.099559
  14:  mu=302.785714   Gap=0.005933      sigma=32.857220    Gap=0.111967
  15:  mu=302.266667   Gap=0.004208      sigma=31.802446    Gap=0.140474
  16:  mu=301.437500   Gap=0.001453      sigma=30.959588    Gap=0.163254
  17:  mu=300.764706   Gap=0.000782      sigma=30.155537    Gap=0.184985
  18:  mu=300.111111   Gap=0.002953      sigma=29.429556    Gap=0.204607
  19:  mu=296.947368   Gap=0.013464      sigma=31.633549    Gap=0.145039
  20:  mu=297.900000   Gap=0.010299      sigma=31.110931    Gap=0.159164
  21:  mu=301.333333   Gap=0.001107      sigma=34.022868    Gap=0.080463
  22:  mu=302.045455   Gap=0.003473      sigma=33.400432    Gap=0.097286
  23:  mu=300.739130   Gap=0.000867      sigma=33.235938    Gap=0.101731
  24:  mu=300.875000   Gap=0.000415      sigma=32.542680    Gap=0.120468
  25:  mu=300.600000   Gap=0.001329      sigma=31.913633    Gap=0.137469
  26:  mu=301.500000   Gap=0.001661      sigma=31.615782    Gap=0.145519
  27:  mu=302.703704   Gap=0.005660      sigma=31.626073    Gap=0.145241
  28:  mu=304.392857   Gap=0.011272      sigma=32.272655    Gap=0.127766
  29:  mu=302.241379   Gap=0.004124      sigma=33.692990    Gap=0.089379
  30:  mu=300.666667   Gap=0.001107      sigma=34.194866    Gap=0.075814
  31:  mu=301.129032   Gap=0.000429      sigma=33.734009    Gap=0.088270
  32:  mu=302.000000   Gap=0.003322      sigma=33.554992    Gap=0.093108
  33:  mu=301.545455   Gap=0.001812      sigma=33.142567    Gap=0.104255
  34:  mu=301.794118   Gap=0.002638      sigma=32.682771    Gap=0.116682
  35:  mu=302.342857   Gap=0.004461      sigma=32.371012    Gap=0.125108
  36:  mu=302.333333   Gap=0.004430      sigma=31.918298    Gap=0.137343
  37:  mu=301.054054   Gap=0.000180      sigma=32.406161    Gap=0.124158
  38:  mu=299.868421   Gap=0.003759      sigma=32.780106    Gap=0.114051
  39:  mu=298.333333   Gap=0.008859      sigma=33.712459    Gap=0.088852
  40:  mu=300.375000   Gap=0.002076      sigma=35.646660    Gap=0.036577
  41:  mu=298.609756   Gap=0.007941      sigma=36.936913    Gap=0.001705
  42:  mu=299.738095   Gap=0.004192      sigma=37.202829    Gap=0.005482
  43:  mu=299.790698   Gap=0.004018      sigma=36.769273    Gap=0.006236
  44:  mu=300.568182   Gap=0.001435      sigma=36.704841    Gap=0.007977
  45:  mu=300.733333   Gap=0.000886      sigma=36.311247    Gap=0.018615
  46:  mu=302.086957   Gap=0.003611      sigma=37.044524    Gap=0.001203
  47:  mu=302.212766   Gap=0.004029      sigma=36.658247    Gap=0.009237
  48:  mu=301.333333   Gap=0.001107      sigma=36.772008    Gap=0.006162
  49:  mu=300.183673   Gap=0.002712      sigma=37.256241    Gap=0.006925
  50:  mu=300.480000   Gap=0.001728      sigma=36.940081    Gap=0.001619
  51:  mu=300.960784   Gap=0.000130      sigma=36.733786    Gap=0.007195
  52:  mu=300.730769   Gap=0.000894      sigma=36.415928    Gap=0.015786
  53:  mu=299.735849   Gap=0.004200      sigma=36.777326    Gap=0.006018
  54:  mu=300.777778   Gap=0.000738      sigma=37.216417    Gap=0.005849
  55:  mu=300.000000   Gap=0.003322      sigma=37.316825    Gap=0.008563
  56:  mu=299.267857   Gap=0.005755      sigma=37.378609    Gap=0.010233
  57:  mu=299.280702   Gap=0.005712      sigma=37.049400    Gap=0.001335
  58:  mu=299.086207   Gap=0.006358      sigma=36.757962    Gap=0.006542
  59:  mu=298.728814   Gap=0.007545      sigma=36.546618    Gap=0.012254
  60:  mu=298.750000   Gap=0.007475      sigma=36.241148    Gap=0.020510
  61:  mu=299.573770   Gap=0.004738      sigma=36.504866    Gap=0.013382
  62:  mu=298.822581   Gap=0.007234      sigma=36.681508    Gap=0.008608
  63:  mu=298.126984   Gap=0.009545      sigma=36.799108    Gap=0.005430
  64:  mu=298.828125   Gap=0.007216      sigma=36.932182    Gap=0.001833
  65:  mu=298.169231   Gap=0.009405      sigma=37.024137    Gap=0.000652
  66:  mu=299.166667   Gap=0.006091      sigma=37.612290    Gap=0.016548
  67:  mu=300.000000   Gap=0.003322      sigma=37.939465    Gap=0.025391
  68:  mu=300.250000   Gap=0.002492      sigma=37.715021    Gap=0.019325
  69:  mu=300.449275   Gap=0.001830      sigma=37.476770    Gap=0.012886
  70:  mu=300.942857   Gap=0.000190      sigma=37.433326    Gap=0.011712
  71:  mu=300.535211   Gap=0.001544      sigma=37.324927    Gap=0.008782
  72:  mu=301.305556   Gap=0.001015      sigma=37.628904    Gap=0.016997
  73:  mu=301.986301   Gap=0.003277      sigma=37.814070    Gap=0.022002
  74:  mu=301.189189   Gap=0.000629      sigma=38.170201    Gap=0.031627
  75:  mu=301.293333   Gap=0.000975      sigma=37.925461    Gap=0.025012
  76:  mu=301.302632   Gap=0.001005      sigma=37.675212    Gap=0.018249
  77:  mu=301.285714   Gap=0.000949      sigma=37.430058    Gap=0.011623
  78:  mu=301.141026   Gap=0.000469      sigma=37.211014    Gap=0.005703
  79:  mu=300.987342   Gap=0.000042      sigma=36.999656    Gap=0.000009
  80:  mu=300.687500   Gap=0.001038      sigma=36.864140    Gap=0.003672
  81:  mu=299.753086   Gap=0.004143      sigma=37.577091    Gap=0.015597
  82:  mu=299.951220   Gap=0.003484      sigma=37.389806    Gap=0.010535
  83:  mu=300.012048   Gap=0.003282      sigma=37.167966    Gap=0.004540
  84:  mu=299.357143   Gap=0.005458      sigma=37.424732    Gap=0.011479
  85:  mu=299.564706   Gap=0.004768      sigma=37.252539    Gap=0.006825
  86:  mu=299.383721   Gap=0.005370      sigma=37.072891    Gap=0.001970
  87:  mu=299.057471   Gap=0.006454      sigma=36.983176    Gap=0.000455
  88:  mu=299.852273   Gap=0.003813      sigma=37.512283    Gap=0.013845
  89:  mu=299.898876   Gap=0.003658      sigma=37.303506    Gap=0.008203
  90:  mu=299.655556   Gap=0.004467      sigma=37.166640    Gap=0.004504
  91:  mu=298.956044   Gap=0.006791      sigma=37.552867    Gap=0.014942
  92:  mu=298.934783   Gap=0.006861      sigma=37.348769    Gap=0.009426
  93:  mu=298.634409   Gap=0.007859      sigma=37.258985    Gap=0.007000
  94:  mu=298.723404   Gap=0.007563      sigma=37.070205    Gap=0.001897
  95:  mu=298.821053   Gap=0.007239      sigma=36.886734    Gap=0.003061
  96:  mu=299.166667   Gap=0.006091      sigma=36.848413    Gap=0.004097
  97:  mu=299.402062   Gap=0.005309      sigma=36.730464    Gap=0.007285
  98:  mu=299.887755   Gap=0.003695      sigma=36.854342    Gap=0.003937
  99:  mu=300.111111   Gap=0.002953      sigma=36.734342    Gap=0.007180
 100:  mu=300.320000   Gap=0.002259      sigma=36.609256    Gap=0.010561
 101:  mu=300.405941   Gap=0.001974      sigma=36.437707    Gap=0.015197
 102:  mu=300.578431   Gap=0.001401      sigma=36.300067    Gap=0.018917
 103:  mu=300.029126   Gap=0.003225      sigma=36.546939    Gap=0.012245
 104:  mu=300.471154   Gap=0.001757      sigma=36.646428    Gap=0.009556
 105:  mu=300.933333   Gap=0.000221      sigma=36.774802    Gap=0.006086
 106:  mu=300.867925   Gap=0.000439      sigma=36.607061    Gap=0.010620
 107:  mu=300.102804   Gap=0.002981      sigma=37.277423    Gap=0.007498
 108:  mu=300.722222   Gap=0.000923      sigma=37.653595    Gap=0.017665
 109:  mu=300.706422   Gap=0.000975      sigma=37.480834    Gap=0.012996
 110:  mu=301.136364   Gap=0.000453      sigma=37.579123    Gap=0.015652
 111:  mu=301.090090   Gap=0.000299      sigma=37.412613    Gap=0.011152
 112:  mu=301.071429   Gap=0.000237      sigma=37.245737    Gap=0.006642
 113:  mu=301.893805   Gap=0.002969      sigma=38.088245    Gap=0.029412
 114:  mu=301.535088   Gap=0.001778      sigma=38.112065    Gap=0.030056
 115:  mu=302.043478   Gap=0.003467      sigma=38.332275    Gap=0.036007
 116:  mu=301.948276   Gap=0.003150      sigma=38.180344    Gap=0.031901
 117:  mu=302.299145   Gap=0.004316      sigma=38.204189    Gap=0.032546
 118:  mu=302.338983   Gap=0.004448      sigma=38.044403    Gap=0.028227
 119:  mu=301.756303   Gap=0.002513      sigma=38.409331    Gap=0.038090
 120:  mu=302.033333   Gap=0.003433      sigma=38.368158    Gap=0.036977
 121:  mu=301.611570   Gap=0.002032      sigma=38.487601    Gap=0.040205
 122:  mu=301.090164   Gap=0.000300      sigma=38.756280    Gap=0.047467
 123:  mu=301.195122   Gap=0.000648      sigma=38.615819    Gap=0.043671
 124:  mu=301.169355   Gap=0.000563      sigma=38.460856    Gap=0.039483
 125:  mu=301.472000   Gap=0.001568      sigma=38.454664    Gap=0.039315
 126:  mu=301.428571   Gap=0.001424      sigma=38.304840    Gap=0.035266
 127:  mu=301.118110   Gap=0.000392      sigma=38.312559    Gap=0.035475
 128:  mu=301.210938   Gap=0.000701      sigma=38.176943    Gap=0.031809
 129:  mu=301.015504   Gap=0.000052      sigma=38.092907    Gap=0.029538
 130:  mu=301.176923   Gap=0.000588      sigma=37.990376    Gap=0.026767
 131:  mu=301.251908   Gap=0.000837      sigma=37.854753    Gap=0.023101
 132:  mu=301.287879   Gap=0.000956      sigma=37.713339    Gap=0.019279
 133:  mu=301.090226   Gap=0.000300      sigma=37.639856    Gap=0.017293
 134:  mu=301.052239   Gap=0.000174      sigma=37.501705    Gap=0.013560
 135:  mu=300.540741   Gap=0.001526      sigma=37.828808    Gap=0.022400
 136:  mu=300.580882   Gap=0.001392      sigma=37.692361    Gap=0.018712
 137:  mu=300.496350   Gap=0.001673      sigma=37.567482    Gap=0.015337
 138:  mu=300.152174   Gap=0.002817      sigma=37.647276    Gap=0.017494
 139:  mu=299.669065   Gap=0.004422      sigma=37.938494    Gap=0.025365
 140:  mu=299.764286   Gap=0.004105      sigma=37.819423    Gap=0.022147
 141:  mu=299.666667   Gap=0.004430      sigma=37.702769    Gap=0.018994
 142:  mu=299.915493   Gap=0.003603      sigma=37.685783    Gap=0.018535
 143:  mu=299.993007   Gap=0.003345      sigma=37.565141    Gap=0.015274
 144:  mu=299.861111   Gap=0.003784      sigma=37.467692    Gap=0.012640
 145:  mu=299.441379   Gap=0.005178      sigma=37.676459    Gap=0.018283
 146:  mu=299.335616   Gap=0.005530      sigma=37.568800    Gap=0.015373
 147:  mu=299.380952   Gap=0.005379      sigma=37.444804    Gap=0.012022
 148:  mu=299.533784   Gap=0.004871      sigma=37.364063    Gap=0.009840
 149:  mu=299.610738   Gap=0.004615      sigma=37.250235    Gap=0.006763
 150:  mu=299.900000   Gap=0.003654      sigma=37.293386    Gap=0.007929
 151:  mu=300.271523   Gap=0.002420      sigma=37.447170    Gap=0.012086
 152:  mu=300.203947   Gap=0.002645      sigma=37.333021    Gap=0.009001
 153:  mu=300.267974   Gap=0.002432      sigma=37.219189    Gap=0.005924
