任务数量： 500
实际：mu=197.000000   sigma=27.000000

   1:  mu=191.000000   Gap=0.030457      sigma=0.000000    Gap=1.000000
   2:  mu=193.000000   Gap=0.020305      sigma=2.000000    Gap=0.925926
   3:  mu=188.000000   Gap=0.045685      sigma=7.257180    Gap=0.731216
   4:  mu=192.750000   Gap=0.021574      sigma=10.353140    Gap=0.616550
   5:  mu=194.600000   Gap=0.012183      sigma=9.971961    Gap=0.630668
   6:  mu=201.333333   Gap=0.021997      sigma=17.594191    Gap=0.348363
   7:  mu=203.714286   Gap=0.034083      sigma=17.301646    Gap=0.359198
   8:  mu=202.125000   Gap=0.026015      sigma=16.721524    Gap=0.380684
   9:  mu=202.333333   Gap=0.027073      sigma=15.776213    Gap=0.415696
  10:  mu=205.400000   Gap=0.042640      sigma=17.568153    Gap=0.349328
  11:  mu=207.090909   Gap=0.051223      sigma=17.583332    Gap=0.348765
  12:  mu=209.916667   Gap=0.065567      sigma=19.267669    Gap=0.286383
  13:  mu=204.769231   Gap=0.039438      sigma=25.702900    Gap=0.048041
  14:  mu=204.642857   Gap=0.038796      sigma=24.772125    Gap=0.082514
  15:  mu=205.400000   Gap=0.042640      sigma=24.099239    Gap=0.107436
  16:  mu=203.437500   Gap=0.032678      sigma=24.540703    Gap=0.091085
  17:  mu=202.529412   Gap=0.028068      sigma=24.083477    Gap=0.108019
  18:  mu=204.333333   Gap=0.037225      sigma=24.558321    Gap=0.090433
  19:  mu=204.684211   Gap=0.039006      sigma=23.949624    Gap=0.112977
  20:  mu=205.650000   Gap=0.043909      sigma=23.719770    Gap=0.121490
  21:  mu=205.523810   Gap=0.043268      sigma=23.155004    Gap=0.142407
  22:  mu=205.772727   Gap=0.044532      sigma=22.651373    Gap=0.161060
  23:  mu=203.173913   Gap=0.031340      sigma=25.285590    Gap=0.063497
  24:  mu=202.833333   Gap=0.029611      sigma=24.807033    Gap=0.081221
  25:  mu=203.200000   Gap=0.031472      sigma=24.372115    Gap=0.097329
  26:  mu=202.307692   Gap=0.026943      sigma=24.311709    Gap=0.099566
  27:  mu=202.925926   Gap=0.030081      sigma=24.064614    Gap=0.108718
  28:  mu=203.678571   Gap=0.033901      sigma=23.952413    Gap=0.112874
  29:  mu=204.655172   Gap=0.038859      sigma=24.096467    Gap=0.107538
  30:  mu=204.766667   Gap=0.039425      sigma=23.699062    Gap=0.122257
  31:  mu=205.129032   Gap=0.041264      sigma=23.398017    Gap=0.133407
  32:  mu=205.343750   Gap=0.042354      sigma=23.060531    Gap=0.145906
  33:  mu=204.303030   Gap=0.037071      sigma=23.459165    Gap=0.131142
  34:  mu=204.470588   Gap=0.037922      sigma=23.131638    Gap=0.143273
  35:  mu=204.228571   Gap=0.036693      sigma=22.842424    Gap=0.153984
  36:  mu=204.305556   Gap=0.037084      sigma=22.527538    Gap=0.165647
  37:  mu=203.810811   Gap=0.034573      sigma=22.418426    Gap=0.169688
  38:  mu=203.105263   Gap=0.030991      sigma=22.533939    Gap=0.165410
  39:  mu=203.717949   Gap=0.034101      sigma=22.561538    Gap=0.164387
  40:  mu=205.000000   Gap=0.040609      sigma=23.672769    Gap=0.123231
  41:  mu=204.292683   Gap=0.037019      sigma=23.806377    Gap=0.118282
  42:  mu=204.047619   Gap=0.035775      sigma=23.573545    Gap=0.126906
  43:  mu=203.953488   Gap=0.035297      sigma=23.305807    Gap=0.136822
  44:  mu=203.090909   Gap=0.030918      sigma=23.723615    Gap=0.121348
  45:  mu=203.888889   Gap=0.034969      sigma=24.048305    Gap=0.109322
  46:  mu=204.217391   Gap=0.036637      sigma=23.887338    Gap=0.115284
  47:  mu=203.765957   Gap=0.034345      sigma=23.829369    Gap=0.117431
  48:  mu=204.020833   Gap=0.035639      sigma=23.644493    Gap=0.124278
