任务数量： 500
实际：mu=307.000000   sigma=35.000000

   1:  mu=273.000000   Gap=0.110749      sigma=0.000000    Gap=1.000000
   2:  mu=260.500000   Gap=0.151466      sigma=12.500000    Gap=0.642857
   3:  mu=279.666667   Gap=0.089034      sigma=28.963579    Gap=0.172469
   4:  mu=282.000000   Gap=0.081433      sigma=25.406692    Gap=0.274095
   5:  mu=277.600000   Gap=0.095765      sigma=24.368833    Gap=0.303748
   6:  mu=279.000000   Gap=0.091205      sigma=22.464787    Gap=0.358149
   7:  mu=286.285714   Gap=0.067473      sigma=27.405496    Gap=0.216986
   8:  mu=288.375000   Gap=0.060668      sigma=26.224690    Gap=0.250723
   9:  mu=300.333333   Gap=0.021716      sigma=41.896698    Gap=0.197049
  10:  mu=298.200000   Gap=0.028664      sigma=40.258664    Gap=0.150248
  11:  mu=289.454545   Gap=0.057151      sigma=47.310125    Gap=0.351718
  12:  mu=289.250000   Gap=0.057818      sigma=45.301076    Gap=0.294316
  13:  mu=289.307692   Gap=0.057630      sigma=43.524325    Gap=0.243552
  14:  mu=291.571429   Gap=0.050256      sigma=42.727900    Gap=0.220797
  15:  mu=296.866667   Gap=0.033008      sigma=45.787723    Gap=0.308221
  16:  mu=298.187500   Gap=0.028705      sigma=44.627932    Gap=0.275084
  17:  mu=294.941176   Gap=0.039280      sigma=45.200821    Gap=0.291452
  18:  mu=297.722222   Gap=0.030221      sigma=45.399224    Gap=0.297121
  19:  mu=298.631579   Gap=0.027259      sigma=44.356463    Gap=0.267328
  20:  mu=298.700000   Gap=0.027036      sigma=43.234361    Gap=0.235267
  21:  mu=297.190476   Gap=0.031953      sigma=42.729068    Gap=0.220831
  22:  mu=297.727273   Gap=0.030204      sigma=41.819071    Gap=0.194831
  23:  mu=297.695652   Gap=0.030307      sigma=40.900127    Gap=0.168575
  24:  mu=302.416667   Gap=0.014929      sigma=45.997207    Gap=0.314206
  25:  mu=300.760000   Gap=0.020326      sigma=45.792820    Gap=0.308366
  26:  mu=300.038462   Gap=0.022676      sigma=45.048248    Gap=0.287093
  27:  mu=300.148148   Gap=0.022319      sigma=44.209689    Gap=0.263134
  28:  mu=299.714286   Gap=0.023732      sigma=43.471548    Gap=0.242044
  29:  mu=298.896552   Gap=0.026396      sigma=42.934067    Gap=0.226688
  30:  mu=298.166667   Gap=0.028773      sigma=42.395034    Gap=0.211287
  31:  mu=298.806452   Gap=0.026689      sigma=41.852598    Gap=0.195789
  32:  mu=299.625000   Gap=0.024023      sigma=41.444805    Gap=0.184137
  33:  mu=298.848485   Gap=0.026552      sigma=41.047734    Gap=0.172792
  34:  mu=299.294118   Gap=0.025101      sigma=40.520532    Gap=0.157729
  35:  mu=300.600000   Gap=0.020847      sigma=40.656892    Gap=0.161625
  36:  mu=302.777778   Gap=0.013753      sigma=42.107740    Gap=0.203078
  37:  mu=302.675676   Gap=0.014086      sigma=41.539336    Gap=0.186838
  38:  mu=303.736842   Gap=0.010629      sigma=41.494251    Gap=0.185550
  39:  mu=302.923077   Gap=0.013280      sigma=41.264863    Gap=0.178996
  40:  mu=303.350000   Gap=0.011889      sigma=40.832922    Gap=0.166655
  41:  mu=304.829268   Gap=0.007071      sigma=41.402782    Gap=0.182937
  42:  mu=304.857143   Gap=0.006980      sigma=40.907312    Gap=0.168780
  43:  mu=305.302326   Gap=0.005530      sigma=40.531661    Gap=0.158047
  44:  mu=303.954545   Gap=0.009920      sigma=41.031559    Gap=0.172330
  45:  mu=304.777778   Gap=0.007239      sigma=40.938919    Gap=0.169683
  46:  mu=304.652174   Gap=0.007648      sigma=40.500251    Gap=0.157150
  47:  mu=304.042553   Gap=0.009633      sigma=40.279849    Gap=0.150853
  48:  mu=304.500000   Gap=0.008143      sigma=39.981246    Gap=0.142321
  49:  mu=304.020408   Gap=0.009706      sigma=39.710426    Gap=0.134584
  50:  mu=304.240000   Gap=0.008990      sigma=39.341357    Gap=0.124039
  51:  mu=304.588235   Gap=0.007856      sigma=39.031499    Gap=0.115186
  52:  mu=304.346154   Gap=0.008644      sigma=38.693015    Gap=0.105515
  53:  mu=304.943396   Gap=0.006699      sigma=38.567468    Gap=0.101928
  54:  mu=304.425926   Gap=0.008385      sigma=38.393963    Gap=0.096970
  55:  mu=305.018182   Gap=0.006455      sigma=38.291462    Gap=0.094042
  56:  mu=306.517857   Gap=0.001570      sigma=39.544275    Gap=0.129836
  57:  mu=306.649123   Gap=0.001143      sigma=39.208167    Gap=0.120233
  58:  mu=306.775862   Gap=0.000730      sigma=38.880472    Gap=0.110871
  59:  mu=307.728814   Gap=0.002374      sigma=39.226777    Gap=0.120765
  60:  mu=307.833333   Gap=0.002714      sigma=38.906797    Gap=0.111623
  61:  mu=308.557377   Gap=0.005073      sigma=38.992023    Gap=0.114058
  62:  mu=309.258065   Gap=0.007355      sigma=39.061546    Gap=0.116044
  63:  mu=309.634921   Gap=0.008583      sigma=38.863743    Gap=0.110393
  64:  mu=310.062500   Gap=0.009976      sigma=38.707991    Gap=0.105943
  65:  mu=310.261538   Gap=0.010624      sigma=38.442075    Gap=0.098345
  66:  mu=310.803030   Gap=0.012388      sigma=38.398714    Gap=0.097106
  67:  mu=310.805970   Gap=0.012397      sigma=38.111086    Gap=0.088888
  68:  mu=310.235294   Gap=0.010538      sigma=38.117125    Gap=0.089061
  69:  mu=310.260870   Gap=0.010622      sigma=37.840494    Gap=0.081157
  70:  mu=310.728571   Gap=0.012145      sigma=37.769573    Gap=0.079131
  71:  mu=310.126761   Gap=0.010185      sigma=37.839144    Gap=0.081118
  72:  mu=309.847222   Gap=0.009274      sigma=37.649207    Gap=0.075692
  73:  mu=310.931507   Gap=0.012806      sigma=38.505765    Gap=0.100165
