任务数量： 500
实际：mu=322.000000   sigma=37.000000

   1:  mu=318.000000   Gap=0.012422      sigma=0.000000    Gap=1.000000
   2:  mu=320.000000   Gap=0.006211      sigma=2.000000    Gap=0.945946
   3:  mu=305.000000   Gap=0.052795      sigma=21.275965    Gap=0.424974
   4:  mu=317.000000   Gap=0.015528      sigma=27.775889    Gap=0.249300
   5:  mu=318.400000   Gap=0.011180      sigma=25.000800    Gap=0.324303
   6:  mu=303.500000   Gap=0.057453      sigma=40.384609    Gap=0.091476
   7:  mu=314.142857   Gap=0.024401      sigma=45.580160    Gap=0.231896
   8:  mu=315.500000   Gap=0.020186      sigma=42.787264    Gap=0.156413
   9:  mu=318.111111   Gap=0.012077      sigma=41.010688    Gap=0.108397
  10:  mu=308.500000   Gap=0.041925      sigma=48.425716    Gap=0.308803
  11:  mu=304.454545   Gap=0.054489      sigma=47.911592    Gap=0.294908
  12:  mu=304.166667   Gap=0.055383      sigma=45.881793    Gap=0.240048
  13:  mu=304.615385   Gap=0.053989      sigma=44.109197    Gap=0.192140
  14:  mu=303.214286   Gap=0.058341      sigma=42.803836    Gap=0.156860
  15:  mu=303.200000   Gap=0.058385      sigma=41.352469    Gap=0.117634
  16:  mu=308.000000   Gap=0.043478      sigma=44.144649    Gap=0.193099
  17:  mu=310.529412   Gap=0.035623      sigma=44.005505    Gap=0.189338
  18:  mu=307.666667   Gap=0.044513      sigma=44.364651    Gap=0.199045
  19:  mu=310.105263   Gap=0.036940      sigma=44.403526    Gap=0.200095
  20:  mu=312.000000   Gap=0.031056      sigma=44.060186    Gap=0.190816
  21:  mu=316.238095   Gap=0.017894      sigma=46.990277    Gap=0.270007
  22:  mu=315.681818   Gap=0.019622      sigma=45.980615    Gap=0.242719
  23:  mu=316.217391   Gap=0.017958      sigma=45.040037    Gap=0.217298
  24:  mu=315.375000   Gap=0.020575      sigma=44.276416    Gap=0.196660
  25:  mu=317.240000   Gap=0.014783      sigma=44.333536    Gap=0.198204
  26:  mu=318.961538   Gap=0.009436      sigma=44.316589    Gap=0.197746
  27:  mu=318.111111   Gap=0.012077      sigma=43.703829    Gap=0.181185
  28:  mu=321.535714   Gap=0.001442      sigma=46.459262    Gap=0.255656
  29:  mu=321.965517   Gap=0.000107      sigma=45.707830    Gap=0.235347
  30:  mu=320.400000   Gap=0.004969      sigma=45.723517    Gap=0.235771
  31:  mu=320.967742   Gap=0.003206      sigma=45.087359    Gap=0.218577
  32:  mu=321.656250   Gap=0.001068      sigma=44.542542    Gap=0.203852
  33:  mu=321.121212   Gap=0.002729      sigma=43.966763    Gap=0.188291
  34:  mu=320.382353   Gap=0.005024      sigma=43.522823    Gap=0.176293
  35:  mu=321.057143   Gap=0.002928      sigma=43.076638    Gap=0.164233
  36:  mu=322.694444   Gap=0.002157      sigma=43.564651    Gap=0.177423
  37:  mu=321.729730   Gap=0.000839      sigma=43.359994    Gap=0.171892
  38:  mu=321.026316   Gap=0.003024      sigma=42.999074    Gap=0.162137
  39:  mu=320.153846   Gap=0.005733      sigma=42.783617    Gap=0.156314
  40:  mu=319.700000   Gap=0.007143      sigma=42.340406    Gap=0.144335
  41:  mu=319.000000   Gap=0.009317      sigma=42.054552    Gap=0.136610
  42:  mu=318.547619   Gap=0.010722      sigma=41.651732    Gap=0.125722
  43:  mu=319.558140   Gap=0.007583      sigma=41.682243    Gap=0.126547
  44:  mu=320.181818   Gap=0.005647      sigma=41.408318    Gap=0.119144
  45:  mu=320.266667   Gap=0.005383      sigma=40.949508    Gap=0.106743
  46:  mu=320.217391   Gap=0.005536      sigma=40.503308    Gap=0.094684
  47:  mu=319.744681   Gap=0.007004      sigma=40.198162    Gap=0.086437
  48:  mu=319.479167   Gap=0.007829      sigma=39.818855    Gap=0.076185
  49:  mu=320.122449   Gap=0.005831      sigma=39.661647    Gap=0.071936
  50:  mu=320.540000   Gap=0.004534      sigma=39.371670    Gap=0.064099
  51:  mu=319.862745   Gap=0.006637      sigma=39.276805    Gap=0.061535
  52:  mu=319.192308   Gap=0.008720      sigma=39.190873    Gap=0.059213
  53:  mu=319.924528   Gap=0.006446      sigma=39.176836    Gap=0.058833
  54:  mu=320.888889   Gap=0.003451      sigma=39.442253    Gap=0.066007
  55:  mu=321.163636   Gap=0.002597      sigma=39.134158    Gap=0.057680
  56:  mu=321.696429   Gap=0.000943      sigma=38.983934    Gap=0.053620
  57:  mu=321.684211   Gap=0.000981      sigma=38.640565    Gap=0.044340
  58:  mu=321.672414   Gap=0.001017      sigma=38.306112    Gap=0.035300
  59:  mu=322.627119   Gap=0.001948      sigma=38.669788    Gap=0.045129
  60:  mu=322.816667   Gap=0.002536      sigma=38.373816    Gap=0.037130
  61:  mu=322.377049   Gap=0.001171      sigma=38.210017    Gap=0.032703
  62:  mu=323.225806   Gap=0.003807      sigma=38.475975    Gap=0.039891
  63:  mu=322.238095   Gap=0.000739      sigma=38.953662    Gap=0.052802
  64:  mu=322.296875   Gap=0.000922      sigma=38.650954    Gap=0.044620
  65:  mu=322.323077   Gap=0.001003      sigma=38.353059    Gap=0.036569
  66:  mu=323.045455   Gap=0.003247      sigma=38.504400    Gap=0.040659
  67:  mu=323.164179   Gap=0.003615      sigma=38.228144    Gap=0.033193
  68:  mu=323.308824   Gap=0.004065      sigma=37.964479    Gap=0.026067
  69:  mu=322.840580   Gap=0.002610      sigma=37.885649    Gap=0.023936
  70:  mu=322.142857   Gap=0.000444      sigma=38.057958    Gap=0.028593
  71:  mu=320.774648   Gap=0.003805      sigma=39.484779    Gap=0.067156
  72:  mu=320.347222   Gap=0.005133      sigma=39.374682    Gap=0.064181
  73:  mu=321.383562   Gap=0.001914      sigma=40.080614    Gap=0.083260
  74:  mu=320.972973   Gap=0.003190      sigma=39.963150    Gap=0.080085
  75:  mu=320.946667   Gap=0.003271      sigma=39.696480    Gap=0.072878
  76:  mu=320.184211   Gap=0.005639      sigma=39.983454    Gap=0.080634
  77:  mu=320.090909   Gap=0.005929      sigma=39.731299    Gap=0.073819
  78:  mu=319.615385   Gap=0.007406      sigma=39.695711    Gap=0.072857
  79:  mu=318.911392   Gap=0.009592      sigma=39.930696    Gap=0.079208
  80:  mu=319.100000   Gap=0.009006      sigma=39.715740    Gap=0.073398
  81:  mu=318.827160   Gap=0.009854      sigma=39.545189    Gap=0.068789
  82:  mu=319.048780   Gap=0.009165      sigma=39.353899    Gap=0.063619
  83:  mu=319.120482   Gap=0.008943      sigma=39.121497    Gap=0.057338
  84:  mu=319.357143   Gap=0.008208      sigma=38.947658    Gap=0.052639
  85:  mu=319.447059   Gap=0.007928      sigma=38.726646    Gap=0.046666
  86:  mu=319.534884   Gap=0.007656      sigma=38.509346    Gap=0.040793
  87:  mu=320.689655   Gap=0.004069      sigma=39.756821    Gap=0.074509
  88:  mu=319.738636   Gap=0.007023      sigma=40.513324    Gap=0.094955
  89:  mu=320.584270   Gap=0.004397      sigma=41.058689    Gap=0.109694
  90:  mu=321.911111   Gap=0.000276      sigma=42.705619    Gap=0.154206
  91:  mu=321.934066   Gap=0.000205      sigma=42.470883    Gap=0.147862
  92:  mu=321.717391   Gap=0.000878      sigma=42.289974    Gap=0.142972
  93:  mu=321.430108   Gap=0.001770      sigma=42.152156    Gap=0.139247
  94:  mu=321.648936   Gap=0.001090      sigma=41.980418    Gap=0.134606
  95:  mu=321.347368   Gap=0.002027      sigma=41.861116    Gap=0.131382
  96:  mu=321.625000   Gap=0.001165      sigma=41.730347    Gap=0.127847
  97:  mu=320.886598   Gap=0.003458      sigma=42.140383    Gap=0.138929
  98:  mu=320.918367   Gap=0.003359      sigma=41.925997    Gap=0.133135
  99:  mu=321.040404   Gap=0.002980      sigma=41.731203    Gap=0.127870
 100:  mu=321.130000   Gap=0.002702      sigma=41.531592    Gap=0.122475
 101:  mu=321.405941   Gap=0.001845      sigma=41.417502    Gap=0.119392
 102:  mu=321.196078   Gap=0.002497      sigma=41.267905    Gap=0.115349
 103:  mu=320.669903   Gap=0.004131      sigma=41.409484    Gap=0.119175
 104:  mu=320.028846   Gap=0.006122      sigma=41.720327    Gap=0.127576
 105:  mu=320.704762   Gap=0.004022      sigma=42.089457    Gap=0.137553
 106:  mu=320.650943   Gap=0.004190      sigma=41.894081    Gap=0.132272
 107:  mu=321.130841   Gap=0.002699      sigma=41.989559    Gap=0.134853
 108:  mu=321.259259   Gap=0.002300      sigma=41.815815    Gap=0.130157
 109:  mu=320.568807   Gap=0.004445      sigma=42.237504    Gap=0.141554
 110:  mu=320.590909   Gap=0.004376      sigma=42.045710    Gap=0.136371
 111:  mu=320.441441   Gap=0.004840      sigma=41.885232    Gap=0.132033
 112:  mu=320.089286   Gap=0.005934      sigma=41.862563    Gap=0.131421
 113:  mu=320.088496   Gap=0.005936      sigma=41.676920    Gap=0.126403
 114:  mu=320.359649   Gap=0.005094      sigma=41.593717    Gap=0.124155
 115:  mu=320.365217   Gap=0.005077      sigma=41.412523    Gap=0.119257
 116:  mu=320.353448   Gap=0.005114      sigma=41.233827    Gap=0.114428
 117:  mu=321.350427   Gap=0.002017      sigma=42.438153    Gap=0.146977
 118:  mu=321.398305   Gap=0.001869      sigma=42.261121    Gap=0.142192
 119:  mu=321.361345   Gap=0.001983      sigma=42.085094    Gap=0.137435
 120:  mu=320.516667   Gap=0.004607      sigma=42.910368    Gap=0.159740
 121:  mu=320.669421   Gap=0.004132      sigma=42.765435    Gap=0.155823
 122:  mu=320.729508   Gap=0.003946      sigma=42.594935    Gap=0.151214
 123:  mu=320.845528   Gap=0.003585      sigma=42.440783    Gap=0.147048
 124:  mu=320.879032   Gap=0.003481      sigma=42.270937    Gap=0.142458
 125:  mu=320.936000   Gap=0.003304      sigma=42.106293    Gap=0.138008
 126:  mu=321.357143   Gap=0.001996      sigma=42.202359    Gap=0.140604
 127:  mu=321.133858   Gap=0.002690      sigma=42.110534    Gap=0.138123
 128:  mu=321.132812   Gap=0.002693      sigma=41.945718    Gap=0.133668
 129:  mu=321.317829   Gap=0.002119      sigma=41.835222    Gap=0.130682
 130:  mu=321.269231   Gap=0.002269      sigma=41.677662    Gap=0.126423
 131:  mu=321.374046   Gap=0.001944      sigma=41.535478    Gap=0.122580
 132:  mu=321.242424   Gap=0.002353      sigma=41.405263    Gap=0.119061
 133:  mu=321.007519   Gap=0.003082      sigma=41.337506    Gap=0.117230
 134:  mu=321.097015   Gap=0.002804      sigma=41.195904    Gap=0.113403
 135:  mu=321.222222   Gap=0.002415      sigma=41.068627    Gap=0.109963
 136:  mu=320.808824   Gap=0.003699      sigma=41.198321    Gap=0.113468
 137:  mu=320.700730   Gap=0.004035      sigma=41.067039    Gap=0.109920
 138:  mu=320.471014   Gap=0.004748      sigma=41.006219    Gap=0.108276
 139:  mu=320.474820   Gap=0.004737      sigma=40.858473    Gap=0.104283
 140:  mu=320.328571   Gap=0.005191      sigma=40.748785    Gap=0.101319
 141:  mu=320.390071   Gap=0.005000      sigma=40.610548    Gap=0.097582
 142:  mu=320.218310   Gap=0.005533      sigma=40.518665    Gap=0.095099
 143:  mu=319.776224   Gap=0.006906      sigma=40.718962    Gap=0.100512
 144:  mu=320.020833   Gap=0.006146      sigma=40.682625    Gap=0.099530
 145:  mu=319.710345   Gap=0.007111      sigma=40.712942    Gap=0.100350
 146:  mu=319.568493   Gap=0.007551      sigma=40.609215    Gap=0.097546
 147:  mu=319.646259   Gap=0.007310      sigma=40.481759    Gap=0.094102
 148:  mu=319.817568   Gap=0.006778      sigma=40.398193    Gap=0.091843
 149:  mu=319.892617   Gap=0.006545      sigma=40.272751    Gap=0.088453
 150:  mu=320.280000   Gap=0.005342      sigma=40.415858    Gap=0.092320
 151:  mu=320.403974   Gap=0.004957      sigma=40.310415    Gap=0.089471
 152:  mu=320.388158   Gap=0.005006      sigma=40.178066    Gap=0.085894
 153:  mu=320.189542   Gap=0.005623      sigma=40.121344    Gap=0.084361
 154:  mu=320.097403   Gap=0.005909      sigma=40.007105    Gap=0.081273
 155:  mu=320.051613   Gap=0.006051      sigma=39.881889    Gap=0.077889
 156:  mu=320.250000   Gap=0.005435      sigma=39.830510    Gap=0.076500
 157:  mu=320.426752   Gap=0.004886      sigma=39.764787    Gap=0.074724
 158:  mu=320.772152   Gap=0.003813      sigma=39.874312    Gap=0.077684
 159:  mu=320.484277   Gap=0.004707      sigma=39.913090    Gap=0.078732
 160:  mu=320.531250   Gap=0.004561      sigma=39.792575    Gap=0.075475
 161:  mu=320.608696   Gap=0.004321      sigma=39.680897    Gap=0.072457
 162:  mu=320.314815   Gap=0.005233      sigma=39.733599    Gap=0.073881
 163:  mu=320.460123   Gap=0.004782      sigma=39.654682    Gap=0.071748
 164:  mu=320.542683   Gap=0.004526      sigma=39.547648    Gap=0.068855
 165:  mu=320.151515   Gap=0.005741      sigma=39.744579    Gap=0.074178
 166:  mu=320.313253   Gap=0.005238      sigma=39.679113    Gap=0.072408
 167:  mu=320.011976   Gap=0.006174      sigma=39.750116    Gap=0.074327
 168:  mu=320.142857   Gap=0.005768      sigma=39.667710    Gap=0.072100
 169:  mu=320.213018   Gap=0.005550      sigma=39.560629    Gap=0.069206
 170:  mu=320.664706   Gap=0.004147      sigma=39.878779    Gap=0.077805
 171:  mu=320.397661   Gap=0.004976      sigma=39.914159    Gap=0.078761
 172:  mu=320.383721   Gap=0.005020      sigma=39.798378    Gap=0.075632
 173:  mu=320.606936   Gap=0.004326      sigma=39.791020    Gap=0.075433
 174:  mu=320.258621   Gap=0.005408      sigma=39.940139    Gap=0.079463
 175:  mu=320.537143   Gap=0.004543      sigma=39.994965    Gap=0.080945
 176:  mu=320.687500   Gap=0.004076      sigma=39.930751    Gap=0.079209
 177:  mu=320.480226   Gap=0.004720      sigma=39.912629    Gap=0.078720
 178:  mu=320.696629   Gap=0.004048      sigma=39.904353    Gap=0.078496
 179:  mu=320.508380   Gap=0.004632      sigma=39.871913    Gap=0.077619
 180:  mu=320.483333   Gap=0.004710      sigma=39.762416    Gap=0.074660
 181:  mu=320.480663   Gap=0.004718      sigma=39.652439    Gap=0.071688
 182:  mu=320.549451   Gap=0.004505      sigma=39.554181    Gap=0.069032
 183:  mu=320.639344   Gap=0.004226      sigma=39.464600    Gap=0.066611
 184:  mu=320.875000   Gap=0.003494      sigma=39.486110    Gap=0.067192
 185:  mu=321.243243   Gap=0.002350      sigma=39.694785    Gap=0.072832
 186:  mu=321.365591   Gap=0.001970      sigma=39.622896    Gap=0.070889
 187:  mu=320.967914   Gap=0.003205      sigma=39.887261    Gap=0.078034
 188:  mu=321.005319   Gap=0.003089      sigma=39.784325    Gap=0.075252
 189:  mu=321.084656   Gap=0.002843      sigma=39.693845    Gap=0.072807
 190:  mu=321.221053   Gap=0.002419      sigma=39.633632    Gap=0.071179
 191:  mu=320.973822   Gap=0.003187      sigma=39.676365    Gap=0.072334
 192:  mu=321.078125   Gap=0.002863      sigma=39.599152    Gap=0.070247
 193:  mu=320.870466   Gap=0.003508      sigma=39.601104    Gap=0.070300
 194:  mu=320.721649   Gap=0.003970      sigma=39.552977    Gap=0.068999
 195:  mu=320.764103   Gap=0.003838      sigma=39.455860    Gap=0.066375
 196:  mu=321.096939   Gap=0.002805      sigma=39.628579    Gap=0.071043
 197:  mu=321.527919   Gap=0.001466      sigma=39.985727    Gap=0.080695
 198:  mu=321.520202   Gap=0.001490      sigma=39.884772    Gap=0.077967
 199:  mu=321.472362   Gap=0.001639      sigma=39.790128    Gap=0.075409
 200:  mu=321.465000   Gap=0.001661      sigma=39.690664    Gap=0.072721
 201:  mu=321.363184   Gap=0.001978      sigma=39.617982    Gap=0.070756
 202:  mu=321.584158   Gap=0.001291      sigma=39.643777    Gap=0.071453
 203:  mu=321.527094   Gap=0.001469      sigma=39.554328    Gap=0.069036
 204:  mu=321.823529   Gap=0.000548      sigma=39.682666    Gap=0.072504
 205:  mu=321.770732   Gap=0.000712      sigma=39.592942    Gap=0.070080
 206:  mu=321.883495   Gap=0.000362      sigma=39.529711    Gap=0.068371
 207:  mu=321.971014   Gap=0.000090      sigma=39.454115    Gap=0.066327
 208:  mu=322.149038   Gap=0.000463      sigma=39.442411    Gap=0.066011
 209:  mu=322.181818   Gap=0.000565      sigma=39.350777    Gap=0.063535
 210:  mu=321.914286   Gap=0.000266      sigma=39.447038    Gap=0.066136
 211:  mu=321.696682   Gap=0.000942      sigma=39.479588    Gap=0.067016
 212:  mu=321.750000   Gap=0.000776      sigma=39.393979    Gap=0.064702
 213:  mu=321.708920   Gap=0.000904      sigma=39.305948    Gap=0.062323
 214:  mu=321.813084   Gap=0.000580      sigma=39.243460    Gap=0.060634
 215:  mu=321.683721   Gap=0.000982      sigma=39.197799    Gap=0.059400
 216:  mu=321.606481   Gap=0.001222      sigma=39.123354    Gap=0.057388
 217:  mu=321.797235   Gap=0.000630      sigma=39.133652    Gap=0.057666
 218:  mu=321.931193   Gap=0.000214      sigma=39.093628    Gap=0.056585
 219:  mu=322.191781   Gap=0.000596      sigma=39.193580    Gap=0.059286
 220:  mu=322.363636   Gap=0.001129      sigma=39.187017    Gap=0.059109
 221:  mu=322.610860   Gap=0.001897      sigma=39.269837    Gap=0.061347
 222:  mu=322.693694   Gap=0.002154      sigma=39.200637    Gap=0.059477
 223:  mu=322.766816   Gap=0.002381      sigma=39.127816    Gap=0.057509
 224:  mu=322.937500   Gap=0.002911      sigma=39.123495    Gap=0.057392
 225:  mu=322.933333   Gap=0.002899      sigma=39.036507    Gap=0.055041
 226:  mu=323.013274   Gap=0.003147      sigma=38.968501    Gap=0.053203
 227:  mu=323.066079   Gap=0.003311      sigma=38.890675    Gap=0.051099
 228:  mu=322.837719   Gap=0.002602      sigma=38.957523    Gap=0.052906
 229:  mu=322.960699   Gap=0.002984      sigma=38.916698    Gap=0.051803
 230:  mu=323.117391   Gap=0.003470      sigma=38.904333    Gap=0.051468
 231:  mu=323.359307   Gap=0.004221      sigma=38.993016    Gap=0.053865
 232:  mu=323.426724   Gap=0.004431      sigma=38.922378    Gap=0.051956
 233:  mu=323.287554   Gap=0.003999      sigma=38.896569    Gap=0.051259
 234:  mu=323.495726   Gap=0.004645      sigma=38.943225    Gap=0.052520
 235:  mu=323.331915   Gap=0.004136      sigma=38.940987    Gap=0.052459
 236:  mu=323.199153   Gap=0.003724      sigma=38.911658    Gap=0.051666
 237:  mu=323.400844   Gap=0.004350      sigma=38.952905    Gap=0.052781
