任务数量： 500
实际：mu=86.000000   sigma=9.000000

   1:  mu=97.000000   Gap=0.127907      sigma=0.000000    Gap=1.000000
   2:  mu=87.500000   Gap=0.017442      sigma=9.500000    Gap=0.055556
   3:  mu=89.000000   Gap=0.034884      sigma=8.041559    Gap=0.106493
   4:  mu=85.750000   Gap=0.002907      sigma=8.954747    Gap=0.005028
   5:  mu=84.800000   Gap=0.013953      sigma=8.231646    Gap=0.085373
   6:  mu=86.333333   Gap=0.003876      sigma=8.259674    Gap=0.082258
   7:  mu=86.285714   Gap=0.003322      sigma=7.647862    Gap=0.150238
   8:  mu=84.750000   Gap=0.014535      sigma=8.227241    Gap=0.085862
   9:  mu=83.444444   Gap=0.029716      sigma=8.590836    Gap=0.045463
  10:  mu=83.200000   Gap=0.032558      sigma=8.182909    Gap=0.090788
  11:  mu=83.727273   Gap=0.026427      sigma=7.978276    Gap=0.113525
  12:  mu=83.583333   Gap=0.028101      sigma=7.653521    Gap=0.149609
  13:  mu=83.384615   Gap=0.030411      sigma=7.385417    Gap=0.179398
  14:  mu=83.428571   Gap=0.029900      sigma=7.118530    Gap=0.209052
  15:  mu=83.400000   Gap=0.030233      sigma=6.877984    Gap=0.235780
  16:  mu=83.187500   Gap=0.032703      sigma=6.710242    Gap=0.254418
  17:  mu=83.411765   Gap=0.030096      sigma=6.571407    Gap=0.269844
  18:  mu=83.611111   Gap=0.027778      sigma=6.438934    Gap=0.284563
  19:  mu=84.368421   Gap=0.018972      sigma=7.042805    Gap=0.217466
  20:  mu=85.000000   Gap=0.011628      sigma=7.395945    Gap=0.178228
  21:  mu=85.000000   Gap=0.011628      sigma=7.217703    Gap=0.198033
  22:  mu=84.636364   Gap=0.015856      sigma=7.245974    Gap=0.194892
  23:  mu=84.565217   Gap=0.016684      sigma=7.094554    Gap=0.211716
  24:  mu=84.208333   Gap=0.020833      sigma=7.152967    Gap=0.205226
  25:  mu=84.760000   Gap=0.014419      sigma=7.511485    Gap=0.165391
  26:  mu=84.653846   Gap=0.015653      sigma=7.384716    Gap=0.179476
  27:  mu=84.666667   Gap=0.015504      sigma=7.246966    Gap=0.194782
  28:  mu=84.321429   Gap=0.019518      sigma=7.339003    Gap=0.184555
  29:  mu=84.413793   Gap=0.018444      sigma=7.227902    Gap=0.196900
  30:  mu=84.533333   Gap=0.017054      sigma=7.135514    Gap=0.207165
  31:  mu=84.516129   Gap=0.017254      sigma=7.020114    Gap=0.219987
  32:  mu=84.625000   Gap=0.015988      sigma=6.936092    Gap=0.229323
  33:  mu=84.636364   Gap=0.015856      sigma=6.830494    Gap=0.241056
  34:  mu=84.500000   Gap=0.017442      sigma=6.774737    Gap=0.247251
  35:  mu=84.400000   Gap=0.018605      sigma=6.702665    Gap=0.255259
  36:  mu=84.305556   Gap=0.019703      sigma=6.632493    Gap=0.263056
  37:  mu=84.189189   Gap=0.021056      sigma=6.579402    Gap=0.268955
  38:  mu=84.184211   Gap=0.021114      sigma=6.492324    Gap=0.278631
  39:  mu=84.538462   Gap=0.016995      sigma=6.770396    Gap=0.247734
  40:  mu=84.950000   Gap=0.012209      sigma=7.162227    Gap=0.204197
  41:  mu=84.878049   Gap=0.013046      sigma=7.088965    Gap=0.212337
  42:  mu=84.952381   Gap=0.012182      sigma=7.020217    Gap=0.219976
  43:  mu=84.906977   Gap=0.012710      sigma=6.944343    Gap=0.228406
  44:  mu=84.704545   Gap=0.015063      sigma=6.992137    Gap=0.223096
  45:  mu=84.933333   Gap=0.012403      sigma=7.078606    Gap=0.213488
  46:  mu=84.521739   Gap=0.017189      sigma=7.526010    Gap=0.163777
  47:  mu=84.680851   Gap=0.015339      sigma=7.523315    Gap=0.164076
  48:  mu=84.583333   Gap=0.016473      sigma=7.474494    Gap=0.169501
  49:  mu=84.428571   Gap=0.018272      sigma=7.475129    Gap=0.169430
  50:  mu=84.540000   Gap=0.016977      sigma=7.440995    Gap=0.173223
  51:  mu=84.627451   Gap=0.015960      sigma=7.393587    Gap=0.178490
  52:  mu=84.711538   Gap=0.014982      sigma=7.346733    Gap=0.183696
  53:  mu=84.509434   Gap=0.017332      sigma=7.421597    Gap=0.175378
  54:  mu=84.111111   Gap=0.021964      sigma=7.903742    Gap=0.121806
  55:  mu=84.218182   Gap=0.020719      sigma=7.870984    Gap=0.125446
  56:  mu=84.232143   Gap=0.020556      sigma=7.801078    Gap=0.133214
  57:  mu=84.298246   Gap=0.019788      sigma=7.748152    Gap=0.139094
  58:  mu=84.310345   Gap=0.019647      sigma=7.681610    Gap=0.146488
  59:  mu=84.542373   Gap=0.016949      sigma=7.818540    Gap=0.131273
  60:  mu=84.283333   Gap=0.019961      sigma=8.004356    Gap=0.110627
  61:  mu=84.262295   Gap=0.020206      sigma=7.940148    Gap=0.117761
  62:  mu=84.306452   Gap=0.019692      sigma=7.883402    Gap=0.124066
  63:  mu=84.396825   Gap=0.018642      sigma=7.852893    Gap=0.127456
  64:  mu=84.281250   Gap=0.019985      sigma=7.845119    Gap=0.128320
  65:  mu=84.476923   Gap=0.017710      sigma=7.940369    Gap=0.117737
  66:  mu=84.636364   Gap=0.015856      sigma=7.984144    Gap=0.112873
  67:  mu=84.686567   Gap=0.015272      sigma=7.934826    Gap=0.118353
  68:  mu=84.705882   Gap=0.015048      sigma=7.877852    Gap=0.124683
  69:  mu=84.826087   Gap=0.013650      sigma=7.883125    Gap=0.124097
  70:  mu=84.971429   Gap=0.011960      sigma=7.919184    Gap=0.120091
  71:  mu=84.929577   Gap=0.012447      sigma=7.871009    Gap=0.125443
  72:  mu=84.763889   Gap=0.014373      sigma=7.939866    Gap=0.117793
  73:  mu=84.890411   Gap=0.012902      sigma=7.958043    Gap=0.115773
  74:  mu=84.797297   Gap=0.013985      sigma=7.944027    Gap=0.117330
  75:  mu=84.746667   Gap=0.014574      sigma=7.902900    Gap=0.121900
  76:  mu=84.697368   Gap=0.015147      sigma=7.862335    Gap=0.126407
  77:  mu=84.623377   Gap=0.016007      sigma=7.837703    Gap=0.129144
  78:  mu=84.756410   Gap=0.014460      sigma=7.874311    Gap=0.125077
  79:  mu=84.784810   Gap=0.014130      sigma=7.828334    Gap=0.130185
  80:  mu=84.987500   Gap=0.011773      sigma=7.985133    Gap=0.112763
  81:  mu=84.888889   Gap=0.012920      sigma=7.984553    Gap=0.112827
  82:  mu=85.000000   Gap=0.011628      sigma=7.998475    Gap=0.111281
  83:  mu=84.975904   Gap=0.011908      sigma=7.953140    Gap=0.116318
  84:  mu=84.952381   Gap=0.012182      sigma=7.908562    Gap=0.121271
  85:  mu=84.917647   Gap=0.012585      sigma=7.868346    Gap=0.125739
  86:  mu=84.860465   Gap=0.013250      sigma=7.840211    Gap=0.128865
  87:  mu=84.804598   Gap=0.013900      sigma=7.812220    Gap=0.131976
  88:  mu=84.897727   Gap=0.012817      sigma=7.816125    Gap=0.131542
  89:  mu=85.011236   Gap=0.011497      sigma=7.844692    Gap=0.128368
  90:  mu=84.866667   Gap=0.013178      sigma=7.919315    Gap=0.120076
  91:  mu=84.824176   Gap=0.013672      sigma=7.885992    Gap=0.123779
  92:  mu=84.826087   Gap=0.013650      sigma=7.843037    Gap=0.128551
  93:  mu=84.870968   Gap=0.013128      sigma=7.812625    Gap=0.131931
  94:  mu=84.734043   Gap=0.014720      sigma=7.882347    Gap=0.124184
  95:  mu=84.663158   Gap=0.015545      sigma=7.870813    Gap=0.125465
  96:  mu=84.802083   Gap=0.013929      sigma=7.945937    Gap=0.117118
  97:  mu=84.608247   Gap=0.016183      sigma=8.129819    Gap=0.096687
  98:  mu=84.826531   Gap=0.013645      sigma=8.369070    Gap=0.070103
  99:  mu=84.707071   Gap=0.015034      sigma=8.410254    Gap=0.065527
 100:  mu=84.740000   Gap=0.014651      sigma=8.374509    Gap=0.069499
 101:  mu=84.752475   Gap=0.014506      sigma=8.333882    Gap=0.074013
 102:  mu=84.784314   Gap=0.014136      sigma=8.299099    Gap=0.077878
 103:  mu=84.912621   Gap=0.012644      sigma=8.359759    Gap=0.071138
 104:  mu=84.750000   Gap=0.014535      sigma=8.481598    Gap=0.057600
 105:  mu=84.933333   Gap=0.012403      sigma=8.645689    Gap=0.039368
 106:  mu=85.056604   Gap=0.010970      sigma=8.697029    Gap=0.033663
 107:  mu=84.981308   Gap=0.011845      sigma=8.690936    Gap=0.034340
 108:  mu=84.907407   Gap=0.012705      sigma=8.684316    Gap=0.035076
 109:  mu=84.871560   Gap=0.013121      sigma=8.652412    Gap=0.038621
 110:  mu=84.754545   Gap=0.014482      sigma=8.699202    Gap=0.033422
 111:  mu=84.837838   Gap=0.013514      sigma=8.703878    Gap=0.032902
 112:  mu=84.973214   Gap=0.011939      sigma=8.781535    Gap=0.024274
 113:  mu=85.008850   Gap=0.011525      sigma=8.750722    Gap=0.027698
 114:  mu=85.087719   Gap=0.010608      sigma=8.752505    Gap=0.027499
 115:  mu=85.095652   Gap=0.010516      sigma=8.714779    Gap=0.031691
 116:  mu=85.163793   Gap=0.009723      sigma=8.707848    Gap=0.032461
 117:  mu=85.307692   Gap=0.008050      sigma=8.807982    Gap=0.021335
 118:  mu=85.194915   Gap=0.009361      sigma=8.855008    Gap=0.016110
 119:  mu=85.100840   Gap=0.010455      sigma=8.876742    Gap=0.013695
 120:  mu=84.983333   Gap=0.011822      sigma=8.932136    Gap=0.007540
 121:  mu=84.975207   Gap=0.011916      sigma=8.895595    Gap=0.011601
 122:  mu=85.114754   Gap=0.010294      sigma=8.991067    Gap=0.000993
